stage_idx,block_idx,label,scale,bootstrap_frac,mean_val_nll,std_val_nll,count,val_acc_mean
3,0,s3b0,25.0,0.05,0.1304765765865644,0.004908252167624336,3,95.51333333333334
3,0,s3b0,25.0,0.1,0.13570170104503632,0.004661164149187157,3,95.33999999999999
3,1,s3b1,25.0,0.05,0.13629862169424692,0.0046674421742499824,3,95.60666666666667
3,0,s3b0,25.0,0.2,0.1452037145694097,0.003868071785097507,3,95.36666666666667
2,0,s2b0,25.0,0.1,0.14679871996243796,0.00575631794315196,3,95.0
1,0,s1b0,25.0,0.05,0.14727080861727396,0.006224929148551275,3,95.22666666666667
2,0,s2b0,25.0,0.2,0.147281676530838,0.006115318025633509,3,95.14
1,0,s1b0,25.0,0.1,0.14790565272172293,0.0058119275482336275,3,95.15333333333332
1,0,s1b0,25.0,0.2,0.14798109730084738,0.005838658822112065,3,95.18666666666667
2,1,s2b1,25.0,0.05,0.15146951377391815,0.006621494419650465,3,94.94
1,1,s1b1,25.0,0.05,0.15464824934800467,0.006823624657551828,3,95.19333333333333
1,1,s1b1,25.0,0.1,0.15515439212322235,0.006986183475553633,3,95.20666666666666
1,1,s1b1,25.0,0.2,0.15531527002652487,0.007074595622253183,3,95.22000000000001
1,0,s1b0,50.0,0.05,0.15545342862606049,0.005279271588177925,3,94.94000000000001
2,1,s2b1,25.0,0.1,0.1561067303021749,0.00641792954883215,3,95.11333333333334
1,0,s1b0,50.0,0.2,0.15636242926120758,0.004963974133871456,3,94.94000000000001
1,0,s1b0,50.0,0.1,0.15642146269480386,0.0049252227576548945,3,94.89999999999999
1,1,s1b1,50.0,0.05,0.1566344052553177,0.006527707965255974,3,95.07333333333334
3,1,s3b1,50.0,0.05,0.15665899217128754,0.01212817223812588,3,95.43333333333334
1,1,s1b1,100.0,0.05,0.1569448560476303,0.006424630224792313,3,95.07333333333334
1,1,s1b1,50.0,0.1,0.1571783721446991,0.006693346239283159,3,95.13333333333333
1,1,s1b1,50.0,0.2,0.15733628471692404,0.006846537847369567,3,95.12666666666667
1,1,s1b1,100.0,0.1,0.15748936434586844,0.006569083358347858,3,95.12666666666667
1,1,s1b1,100.0,0.2,0.15764732162157694,0.006761410045180998,3,95.11333333333334
2,1,s2b1,25.0,0.2,0.15823297699292502,0.00713612146181414,3,95.09999999999998
2,0,s2b0,50.0,0.2,0.15833030144373575,0.005625930290096218,3,94.7
1,0,s1b0,100.0,0.05,0.15869012971719107,0.004780959565285477,3,94.79333333333334
2,0,s2b0,50.0,0.1,0.15909032026926676,0.004599798248144682,3,94.62666666666667
1,0,s1b0,100.0,0.1,0.15963691969712576,0.0044764646766977285,3,94.75999999999999
1,0,s1b0,100.0,0.2,0.15970580776532492,0.004555930906014623,3,94.76666666666667
2,1,s2b1,50.0,0.05,0.1611130585273107,0.007042916374926273,3,94.63333333333333
2,0,s2b0,100.0,0.2,0.16163201133410135,0.005471082259789388,3,94.66000000000001
2,0,s2b0,100.0,0.1,0.1624851276477178,0.0042285102598799695,3,94.58
2,1,s2b1,100.0,0.05,0.16319171090920767,0.007339623371785176,3,94.55333333333333
2,1,s2b1,50.0,0.1,0.16541712979475656,0.006401758712607644,3,94.8
2,1,s2b1,100.0,0.1,0.16756692032019296,0.006354495287846057,3,94.69333333333333
2,1,s2b1,50.0,0.2,0.16799223919709524,0.007163075927739696,3,94.76666666666665
2,1,s2b1,100.0,0.2,0.1701373209555944,0.007067346549292918,3,94.71333333333332
2,0,s2b0,25.0,0.05,0.1782281349102656,0.012830610320670026,3,94.05333333333334
2,0,s2b0,50.0,0.05,0.22011413176854452,0.017269443074866067,3,92.74666666666667
2,0,s2b0,100.0,0.05,0.23291450242201486,0.01933130961417983,3,92.34666666666668
3,1,s3b1,25.0,0.2,0.30415452520052594,0.02216006033093435,3,95.22000000000001
3,1,s3b1,25.0,0.1,0.3464864194393158,0.11607874621966512,3,94.80666666666667
3,1,s3b1,50.0,0.1,0.3987559378147125,0.11533703691264288,3,93.06
3,1,s3b1,50.0,0.2,1.2552779912948608,0.15920663411065808,3,22.633333333333336
3,0,s3b0,50.0,0.05,1.5475886662801106,0.3285208009032393,3,35.46
3,0,s3b0,50.0,0.1,1.9104236364364624,0.28933618920714577,3,26.19333333333333
3,0,s3b0,50.0,0.2,2.2137819131215415,0.11476922505324835,3,15.0
3,1,s3b1,100.0,0.05,3.081390142440796,0.2280130501318009,3,10.646666666666667
3,1,s3b1,100.0,0.2,3.1080781618754068,0.2953465264469464,3,10.186666666666667
3,1,s3b1,100.0,0.1,3.3250856399536133,0.2551486768778581,3,9.74
3,0,s3b0,100.0,0.05,3.902665932973226,0.8693019526864169,3,9.92
3,0,s3b0,100.0,0.2,5.466493288675944,1.168651458964986,3,9.92
3,0,s3b0,100.0,0.1,5.649640242258708,1.2673052825577322,3,9.92
