scale,variant,hidden_pert_mag,corrected_shift,id_acc,id_nll,id_pred_entropy,id_mutual_info,id_logit_change,id_prob_change,near_auroc,near_fpr95,far_auroc,far_fpr95,near_pred_entropy,near_mutual_info,far_pred_entropy,far_mutual_info
5.0,corrected,0.3208,0.2664,95.55,0.1539,0.0622,0.0018,0.3464,0.0073,88.769,58.05,93.576,26.875,0.5498,0.0182,0.7193,0.0231
5.0,uncorrected,0.3208,0.2664,95.6,0.1545,0.0649,0.002,0.444,0.0084,88.419,58.7,93.133,30.475,0.5535,0.02,0.7164,0.0253
12.5,corrected,1.3549,0.6195,95.65,0.1399,0.0821,0.0089,0.8975,0.0185,90.221,42.925,94.483,21.613,0.6703,0.0816,0.8563,0.1012
12.5,uncorrected,1.3549,0.6195,95.4,0.1571,0.1488,0.0132,2.2146,0.0422,88.539,50.65,91.843,33.013,0.8017,0.0942,0.9185,0.1156
25.0,corrected,4.3515,1.2592,95.7,0.1353,0.1809,0.0303,2.2062,0.0488,91.947,32.6,95.953,15.625,1.052,0.205,1.2979,0.249
25.0,uncorrected,4.3515,1.2592,87.3,0.5293,0.9222,0.0784,6.0225,0.3557,78.775,60.675,65.597,66.588,1.4831,0.1487,1.2057,0.1432
50.0,corrected,12.1476,5.0025,50.0,1.2793,1.5104,0.3562,8.0937,0.7501,66.258,81.1,79.435,58.05,1.7062,0.3303,1.8461,0.3764
50.0,uncorrected,12.1476,5.0025,54.4,1.1681,1.1911,0.2912,8.6175,0.6786,70.261,83.75,79.863,46.662,1.532,0.356,1.6783,0.4308
100.0,corrected,29.2769,4823.8785,9.45,13.6453,0.8116,0.8055,2754.2898,1.2723,47.71,95.7,65.958,84.325,0.8001,0.7935,0.9112,0.9033
100.0,uncorrected,29.2769,4823.8785,20.65,2.6529,1.0672,0.5858,15.2369,1.0069,57.877,87.3,75.376,51.825,1.1946,0.6341,1.4037,0.8028
