factor,cell_key,seed,status,id_acc,id_nll,id_ece,val_nll,posthoc_temperature,near_auroc,near_fpr95,far_auroc,far_fpr95,ps,K,M,subset_size,chunk_size,lambda_reg,bootstrap_frac,stage_idx,block_idx,runtime_sec,start_utc,end_utc,output_path,note
scale,scale_ps25,0,ok,95.84999680519104,0.13424740731716156,0.004938346034288406,0.12497333437204361,0.7607359341996746,91.41330324999998,33.975,95.69114446525717,17.1625,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed0_random.json,from_cache(anchor)
rank,rank_k20,0,ok,95.84999680519104,0.13424740731716156,0.004938346034288406,0.12497333437204361,0.7607359341996746,91.41330324999998,33.975,95.69114446525717,17.1625,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed0_random.json,from_cache(anchor)
calib,calib_ss1024,0,ok,95.84999680519104,0.13424740731716156,0.004938346034288406,0.12497333437204361,0.7607359341996746,91.41330324999998,33.975,95.69114446525717,17.1625,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed0_random.json,from_cache(anchor)
ridge,ridge_lam0.001,0,ok,95.84999680519104,0.13424740731716156,0.004938346034288406,0.12497333437204361,0.7607359341996746,91.41330324999998,33.975,95.69114446525717,17.1625,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed0_random.json,from_cache(anchor)
block,block_s3b0,0,ok,95.84999680519104,0.13424740731716156,0.004938346034288406,0.12497333437204361,0.7607359341996746,91.41330324999998,33.975,95.69114446525717,17.1625,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed0_random.json,from_cache(anchor)
scale,scale_ps25,1,ok,95.56999802589417,0.13935333490371704,0.0040457833468914035,0.1340683549642563,0.7466905569031644,91.73028875,32.67,95.12838124429179,17.645,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed1_random.json,from_cache(anchor)
rank,rank_k20,1,ok,95.56999802589417,0.13935333490371704,0.0040457833468914035,0.1340683549642563,0.7466905569031644,91.73028875,32.67,95.12838124429179,17.645,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed1_random.json,from_cache(anchor)
calib,calib_ss1024,1,ok,95.56999802589417,0.13935333490371704,0.0040457833468914035,0.1340683549642563,0.7466905569031644,91.73028875,32.67,95.12838124429179,17.645,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed1_random.json,from_cache(anchor)
ridge,ridge_lam0.001,1,ok,95.56999802589417,0.13935333490371704,0.0040457833468914035,0.1340683549642563,0.7466905569031644,91.73028875,32.67,95.12838124429179,17.645,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed1_random.json,from_cache(anchor)
block,block_s3b0,1,ok,95.56999802589417,0.13935333490371704,0.0040457833468914035,0.1340683549642563,0.7466905569031644,91.73028875,32.67,95.12838124429179,17.645,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed1_random.json,from_cache(anchor)
scale,scale_ps25,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
rank,rank_k20,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
calib,calib_ss1024,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
ridge,ridge_lam0.001,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
