target,comparator,family,delta_auroc_mean,ci95_lo,ci95_hi,p_delta_gt_0,excludes_zero,n_replicates,seed,interval
P&C,Mahalanobis,near,-0.023327735353202185,-0.025113838740726598,-0.02149512459561824,0.0,True,10000,20260815,percentile
P&C,Mahalanobis,far,-0.046621859074569776,-0.048097284388174,-0.04515395538968794,0.0,True,10000,20260815,percentile
P&C,LLLA-Kron,near,0.035377593133473544,0.033137688153834916,0.03767688249667849,1.0,True,10000,20260815,percentile
P&C,LLLA-Kron,far,0.004770979518745213,0.0033583548984511074,0.006203705611853477,1.0,True,10000,20260815,percentile
P&C,SCOD-linear,near,0.013401389405649082,0.012335898985524354,0.014497583339393886,1.0,True,10000,20260815,percentile
P&C,SCOD-linear,far,-0.005898288195153737,-0.006679822029008992,-0.005129136419727057,0.0,True,10000,20260815,percentile
P&C,MSP,near,0.029683994737881785,0.027819257772820606,0.03157534831604472,1.0,True,10000,20260815,percentile
P&C,MSP,far,0.018570523610776275,0.017292730273579426,0.01983221029261718,1.0,True,10000,20260815,percentile
P&C,Uncorrected perturbation,near,0.039545945751701506,0.03808890858808972,0.040970800784826795,1.0,True,10000,20260815,percentile
P&C,Uncorrected perturbation,far,0.03490593752648387,0.03368454026128031,0.03612424188315269,1.0,True,10000,20260815,percentile
