target,comparator,dataset,target_auroc,comparator_auroc,delta_auroc
P&C,Mahalanobis,ssb_hard,0.7076530789387755,0.7133024751020409,-0.00564939616326543
P&C,Mahalanobis,ninco,0.8220636737540398,0.8630761422010547,-0.041012468447014894
P&C,Mahalanobis,inaturalist,0.8968976129999999,0.958573123,-0.061675510000000044
P&C,Mahalanobis,textures,0.862188335271318,0.8954239050387598,-0.0332355697674418
P&C,Mahalanobis,openimage_o,0.8776623133152688,0.9226232276766021,-0.044960914361333315
P&C,LLLA-Kron,ssb_hard,0.7076530789387755,0.6808217675510204,0.026831311387755075
P&C,LLLA-Kron,ninco,0.8220636737540398,0.7781435890457561,0.04392008470828368
P&C,LLLA-Kron,inaturalist,0.8968976129999999,0.8972806780000001,-0.0003830650000001823
P&C,LLLA-Kron,textures,0.862188335271318,0.8657925523255814,-0.0036042170542633922
P&C,LLLA-Kron,openimage_o,0.8776623133152688,0.8593797951981851,0.0182825181170837
P&C,SCOD-linear,ssb_hard,0.7076530789387755,0.6926279677551022,0.015025111183673334
P&C,SCOD-linear,ninco,0.8220636737540398,0.8102865147133866,0.011777159040653129
P&C,SCOD-linear,inaturalist,0.8968976129999999,0.9020818429999999,-0.005184230000000012
P&C,SCOD-linear,textures,0.862188335271318,0.873287457364341,-0.011099122093022995
P&C,SCOD-linear,openimage_o,0.8776623133152688,0.8790812307013676,-0.0014189173860987836
P&C,MSP,ssb_hard,0.7076530789387755,0.689277123877551,0.01837595506122447
P&C,MSP,ninco,0.8220636737540398,0.7810677581221297,0.040995915631910074
P&C,MSP,inaturalist,0.8968976129999999,0.88187524,0.015022372999999978
P&C,MSP,textures,0.862188335271318,0.8505649341085272,0.011623401162790814
P&C,MSP,openimage_o,0.8776623133152688,0.8486169531791543,0.029045360136114473
P&C,Uncorrected perturbation,ssb_hard,0.7076530789387755,0.6591418564489796,0.04851122248979589
P&C,Uncorrected perturbation,ninco,0.8220636737540398,0.7914976975676136,0.030565976186426203
P&C,Uncorrected perturbation,inaturalist,0.8968976129999999,0.8514813792000002,0.045416233799999706
P&C,Uncorrected perturbation,textures,0.862188335271318,0.8278522961240309,0.03433603914728711
P&C,Uncorrected perturbation,openimage_o,0.8776623133152688,0.8526876593358119,0.024974653979456862
