method,n_seeds,id_error_auroc,id_error_aupr,near_auroc,near_auroc_std,far_auroc,far_auroc_std,near_fpr95,far_fpr95
P&C,5,0.8549626762771929,0.5732960386013459,0.7648583763464076,0.0008780003367444294,0.8789160871955289,0.0012076400358686642,0.676544,0.44967866666666667
Uncorrected perturbation,5,0.8132642616380845,0.5063201295673514,0.7253197770082966,0.0029666244214962344,0.844007111553281,0.002747706304466059,0.7166139999999999,0.46509999999999996
Mahalanobis,1,0.780011078282824,0.4694036089366457,0.7881893086515478,,0.925540085238454,,0.66364,0.30228666666666665
MSP,1,0.8561393595374974,0.6011762479635119,0.7351724409998404,,0.8603523757625604,,0.81841,0.5173866666666666
Base entropy (T=0.7),1,0.8680955900465527,0.608820872974326,0.7453244516277064,,0.8642274177771768,,0.75744,0.49230666666666667
Base entropy (raw),1,0.8239514198423787,0.5515678146583445,0.7294826802371637,,0.8741510119183555,,0.85929,0.55662
Energy,1,0.6683945536677578,0.3983739629552151,0.6238932601786366,,0.7896231078956517,,0.93163,0.8529399999999999
LLLA-Kron,1,0.8239514237517355,0.5515678210042558,0.7294826782983883,,0.8741510085079223,,0.85929,0.55662
LLLA-Kron+Temp,1,0.8677718692513888,0.6084673752499657,0.7453656637261474,,0.8648675609412596,,0.76084,0.4916666666666667
SCOD-linear,1,0.8561281435931937,0.58753157895622,0.7514572412342444,,0.8848168436885695,,0.73183,0.4336866666666666
SCOD-FFN,1,0.8257347171962519,0.5278808265148356,0.7202334166925168,,0.8462622150937099,,0.75407,0.4638466666666667
P&C mutual information (seed 0),1,0.8092137107268503,0.49531691097520364,0.7396997904566236,,0.8429605406144347,,0.68299,0.42512666666666665
P&C expected member entropy (seed 0),1,0.857780880162153,0.5792318570311464,0.7654721757813698,,0.8784920117793437,,0.67604,0.45743333333333336
