environment,seed,factor,factor_value,factor_value_numeric,anchor_value,relative_to_anchor,status,error_message,git_commit,ridge_center,scale,subspace_dimension_K,ensemble_size_M,bootstrap_fraction,calibration_size,calibration_pool_size,per_member_calibration_size,unique_calibration_rows,feature_dimension_p,nominal_n_over_p,unique_n_over_p,layer_scope,direction_family,id_rmse,id_nll,id_total_variance,id_residual,near_rmse,near_nll,near_auroc,mid_rmse,mid_nll,mid_auroc,far_rmse,far_nll,far_auroc,far_spearman,construction_time_sec,gram_rank,gram_min_eig,gram_condition,normalized_ridge,mean_delta_w_norm,notes
Ant-v5,0,ridge,0.0,0.0,0.0001,0.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.8463730812072754,-2.1253175735473633,7.292797088623047,0.02902507858535524,1.6296696662902832,0.30435946583747864,0.894675755,2.6191277503967285,0.8048204779624939,0.91851139,11.9485445022583,2.453519582748413,0.9983068500000001,0.8585000573184536,2.2707974910736084,201,5.262073235259173e-05,398752473.44840187,0.0,8.004514694213867,
Ant-v5,0,ridge,0.0001,0.0001,0.0001,1.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5821933746337891,-2.354468584060669,0.64541095495224,0.028888206337095452,0.903622031211853,0.22501462697982788,0.87645979,1.1894710063934326,0.8266291618347168,0.9147764750000001,3.8988285064697266,1.180762767791748,0.998481485,0.8432795906143854,0.9645555019378662,201,5.262073235259173e-05,137482286.69082245,4.876632005128945e-07,8.004514694213867,
Ant-v5,0,ridge,0.001,0.001,0.0001,10.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5351395010948181,-2.3967013359069824,0.3468300998210907,0.028314864776350836,0.7778975963592529,0.6845932006835938,0.8314284600000001,0.9246008396148682,1.5016753673553467,0.88492712,1.7616231441497803,4.244884014129639,0.9981226,0.5656698456611835,0.571446418762207,201,5.262073235259173e-05,19933721.173595343,4.876610601837141e-06,8.004514694213867,
Ant-v5,0,ridge,0.01,0.01,0.0001,100.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5252804160118103,-2.3515186309814453,0.3156220316886902,0.027161808285818788,0.7396390438079834,0.9547075033187866,0.758733425,0.8634659647941589,1.8819804191589355,0.79683551,1.4348291158676147,14.334805488586426,0.9785598000000001,0.23417443957936457,0.5365023612976074,201,5.262073235259173e-05,2087282.2857758177,4.8763965792518266e-05,8.004514694213867,
Ant-v5,0,ridge,0.1,0.1,0.0001,1000.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5213314294815063,-2.331571340560913,0.3083385229110718,0.0258905650919035,0.7204176783561707,1.0049338340759277,0.694883155,0.8374961614608765,1.986538052558899,0.713408635,1.395776391029358,18.099300384521484,0.8397578900000001,0.14629031903509754,0.6451148986816406,201,5.262073235259173e-05,209717.11711972576,0.0004874257386167841,8.004514694213867,
Ant-v5,0,ridge,1.0,1.0,0.0001,10000.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.520447850227356,-2.3257334232330322,0.30774036049842834,0.02553078284011126,0.711862325668335,0.8102006912231445,0.650934385,0.825438380241394,1.8339990377426147,0.6686558149999999,1.3954408168792725,18.212186813354492,0.7231344750000002,0.10849892167391868,0.5588634014129639,201,5.262073235259173e-05,20982.543063479676,0.004852968231545139,8.004514694213867,
Ant-v5,0,ridge,1e-05,1e-05,0.0001,0.1,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.7382830381393433,-2.205669641494751,3.04319429397583,0.029008275781745477,1.256043553352356,0.19876161217689514,0.894112335,1.8736778497695923,0.7132617831230164,0.917288465,9.183623313903809,1.9229459762573242,0.9982023499999999,0.8793903349205415,0.5993385314941406,201,5.262073235259173e-05,335075084.5920739,4.8766341454684594e-08,8.004514694213867,
Ant-v5,0,ridge,0.0003,0.0003,0.0001,2.9999999999999996,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5498188734054565,-2.3905272483825684,0.42260196805000305,0.02869622008145168,0.8277978301048279,0.42872560024261475,0.85735223,1.0220916271209717,1.1195406913757324,0.9041561049999999,2.529053211212158,1.5616992712020874,0.9984689000000001,0.7635145288323074,0.5642518997192383,201,5.262073235259173e-05,59504860.47791817,1.4629881746476925e-06,8.004514694213867,
Ant-v5,0,ridge,0.003,0.003,0.0001,30.0,ok,,d65634e+closure,original,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5291986465454102,-2.376760959625244,0.32502079010009766,0.027827849464522107,0.7547189593315125,0.8415800929069519,0.7997728049999999,0.8864707350730896,1.7344318628311157,0.8503877599999999,1.5212944746017456,9.13107967376709,0.9966571299999999,0.3637318839460484,3.482367753982544,201,5.262073235259173e-05,6873651.206611376,1.4629689118917308e-05,8.004514694213867,
HalfCheetah-v5,0,ridge,0.0,0.0,0.0001,0.0,ok,,d65634e+closure,original,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,multi,random,1.2021429538726807,-0.2781856060028076,1.6668753623962402,0.23384057246332607,2.8489127159118652,2.2977232933044434,0.876330095,4.576469898223877,1.5580466985702515,0.98578492,3.6993794441223145,1.584415078163147,0.99284588,0.12661446754480357,3.5917673110961914,201,11.566197324846216,5351180.980179843,0.0,32.05339431762695,
