example_id,env_name,regime,seed,sensitivity_sketch,finite_disagreement,distance_to_calibration,probe_eps,n_probes,pnc_perturbation_scale,target_layer,bootstrap_frac,correction_lambda,calibration_size
0,Ant-v5,id,0,2513.37939453125,269.73341661149976,16.624813079833984,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
1,Ant-v5,id,0,553.468994140625,103.51631929070398,26.359304428100586,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
2,Ant-v5,id,0,1927.308349609375,179.8525173172039,18.835468292236328,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
3,Ant-v5,id,0,2722.210693359375,311.53541309126524,16.43216896057129,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
4,Ant-v5,id,0,933.8475341796875,96.05971272913581,10.372133255004883,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
5,Ant-v5,id,0,1628.505859375,169.12015717944143,14.344189643859863,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
6,Ant-v5,id,0,1383.8992919921875,137.0457226907184,5.388383388519287,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
7,Ant-v5,id,0,5899.203125,571.630615045868,12.723474502563477,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
8,Ant-v5,id,0,1060.4617919921875,127.86525770027012,9.292737007141113,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
9,Ant-v5,id,0,4344.263671875,441.7742424929312,11.00570011138916,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
10,Ant-v5,id,0,1733.543701171875,173.90339329612866,7.404099464416504,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
11,Ant-v5,id,0,2101.540283203125,197.4292173519884,7.431011199951172,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
12,Ant-v5,id,0,1485.564208984375,146.33594325196887,11.25504207611084,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
13,Ant-v5,id,0,766.57177734375,82.71444871870463,8.715110778808594,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
14,Ant-v5,id,0,819.2088623046875,87.07656931984278,6.846951484680176,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
15,Ant-v5,id,0,1715.4559326171875,168.033986216629,6.1962480545043945,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
16,Ant-v5,id,0,1423.9007568359375,140.95026697627495,11.008367538452148,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
17,Ant-v5,id,0,785.4459228515625,85.25881060777883,7.277194023132324,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
18,Ant-v5,id,0,1209.641357421875,123.29505060724142,5.271927833557129,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
19,Ant-v5,id,0,1459.8927001953125,149.48579294605454,9.899478912353516,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
20,Ant-v5,id,0,1593.31103515625,153.0312401617115,13.9941987991333,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
21,Ant-v5,id,0,1677.9970703125,166.61450168317026,19.735389709472656,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
22,Ant-v5,id,0,591.7620849609375,75.25098485117562,16.550682067871094,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
23,Ant-v5,id,0,666.671142578125,70.36153823943798,10.53691577911377,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
24,Ant-v5,id,0,847.4596557617188,89.07116009776519,9.091680526733398,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
25,Ant-v5,id,0,808.0958862304688,86.03174825475003,13.19281005859375,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
26,Ant-v5,id,0,1635.705322265625,173.4775321596631,12.28573989868164,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
27,Ant-v5,id,0,1288.5281982421875,128.86391423161925,5.70491361618042,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
