method,dataset,group,n_id,n_ood,auroc,fpr95,aupr_in,aupr_out
MSP,ssb_hard,near,50000,49000,0.689277,0.86408,0.669864,0.663166
MSP,ninco,near,50000,5879,0.781068,0.77274,0.959952,0.298718
MSP,inaturalist,far,50000,10000,0.881875,0.424,0.969617,0.611241
MSP,textures,far,50000,5160,0.850565,0.56548,0.978207,0.419752
MSP,openimage_o,far,50000,15869,0.848617,0.56268,0.934539,0.64084
Energy,ssb_hard,near,50000,49000,0.587782,0.92232,0.56973,0.589131
Energy,ninco,near,50000,5879,0.660004,0.94094,0.925255,0.229435
Energy,inaturalist,far,50000,10000,0.792803,0.83502,0.934005,0.474502
Energy,textures,far,50000,5160,0.811484,0.83602,0.96739,0.417966
Energy,openimage_o,far,50000,15869,0.764583,0.88778,0.878932,0.565417
ReAct+Energy,ssb_hard,near,50000,49000,0.630078,0.90314,0.611952,0.611275
ReAct+Energy,ninco,near,50000,5879,0.754064,0.78148,0.955513,0.260574
ReAct+Energy,inaturalist,far,50000,10000,0.859861,0.4825,0.964916,0.506953
ReAct+Energy,textures,far,50000,5160,0.866136,0.55934,0.98046,0.449156
ReAct+Energy,openimage_o,far,50000,15869,0.842315,0.57518,0.934372,0.612741
