global_row,imagenet_path,class,split_seed
4,n01498041_2538_n01498041.JPEG,6,20260813
5,n10565667_5531_n10565667.JPEG,983,20260813
13,n04591157_490_n04591157.JPEG,906,20260813
14,n04039381_26528_n04039381.JPEG,752,20260813
17,n02096051_2039_n02096051.JPEG,191,20260813
18,n02129604_6293_n02129604.JPEG,292,20260813
19,n04392985_3263_n04392985.JPEG,848,20260813
21,n02486410_2564_n02486410.JPEG,372,20260813
24,n03160309_20797_n03160309.JPEG,525,20260813
25,n03710721_22108_n03710721.JPEG,639,20260813
26,n03843555_6532_n03843555.JPEG,686,20260813
30,n04590129_8174_n04590129.JPEG,905,20260813
31,n03297495_397_n03297495.JPEG,550,20260813
32,n01641577_759_n01641577.JPEG,30,20260813
38,n04612504_10815_n04612504.JPEG,914,20260813
39,n02130308_8448_n02130308.JPEG,293,20260813
41,n07565083_3746_n07565083.JPEG,922,20260813
44,n07930864_24862_n07930864.JPEG,968,20260813
46,n03764736_6362_n03764736.JPEG,653,20260813
54,n02101388_12705_n02101388.JPEG,215,20260813
61,n02799071_9325_n02799071.JPEG,429,20260813
64,n03538406_8297_n03538406.JPEG,603,20260813
68,n03028079_15392_n03028079.JPEG,497,20260813
71,n03376595_4301_n03376595.JPEG,559,20260813
81,n02115913_14198_n02115913.JPEG,274,20260813
86,n02281787_3455_n02281787.JPEG,326,20260813
90,n09256479_2407_n09256479.JPEG,973,20260813
91,n02007558_7673_n02007558.JPEG,130,20260813
94,n02165456_6034_n02165456.JPEG,301,20260813
103,n02104029_473_n02104029.JPEG,222,20260813
109,n03089624_23576_n03089624.JPEG,509,20260813
116,n02488702_2953_n02488702.JPEG,375,20260813
127,n02981792_16779_n02981792.JPEG,484,20260813
128,n03992509_13007_n03992509.JPEG,739,20260813
129,n07717556_3229_n07717556.JPEG,942,20260813
133,n13133613_52761_n13133613.JPEG,998,20260813
135,n03000684_18268_n03000684.JPEG,491,20260813
142,n01728920_13316_n01728920.JPEG,53,20260813
143,n03124043_31672_n03124043.JPEG,514,20260813
147,n02514041_6671_n02514041.JPEG,389,20260813
150,n07613480_22394_n07613480.JPEG,927,20260813
154,n01692333_4776_n01692333.JPEG,45,20260813
163,n03929855_6194_n03929855.JPEG,715,20260813
167,n04136333_13752_n04136333.JPEG,775,20260813
171,n03272010_11639_n03272010.JPEG,546,20260813
172,n04099969_15991_n04099969.JPEG,765,20260813
176,n03481172_9986_n03481172.JPEG,587,20260813
178,n04462240_11380_n04462240.JPEG,865,20260813
181,n02480495_9239_n02480495.JPEG,365,20260813
183,n02110627_17744_n02110627.JPEG,252,20260813
184,n04612504_9991_n04612504.JPEG,914,20260813
187,n04371430_10518_n04371430.JPEG,842,20260813
201,n02980441_33561_n02980441.JPEG,483,20260813
206,n02422106_10249_n02422106.JPEG,351,20260813
208,n03492542_7799_n03492542.JPEG,592,20260813
209,n03133878_4345_n03133878.JPEG,521,20260813
216,n01796340_1382_n01796340.JPEG,81,20260813
219,n12267677_3903_n12267677.JPEG,988,20260813
223,n02107312_798_n02107312.JPEG,237,20260813
225,n03530642_30576_n03530642.JPEG,599,20260813
228,n01682714_7218_n01682714.JPEG,40,20260813
235,n02091032_10950_n02091032.JPEG,171,20260813
242,n02835271_19676_n02835271.JPEG,444,20260813
249,n04462240_14881_n04462240.JPEG,865,20260813
251,n02090379_9586_n02090379.JPEG,168,20260813
253,n02423022_7386_n02423022.JPEG,353,20260813
258,n02090379_2491_n02090379.JPEG,168,20260813
264,n02877765_2816_n02877765.JPEG,455,20260813
265,n02108089_1103_n02108089.JPEG,242,20260813
267,n02112137_6137_n02112137.JPEG,260,20260813
268,n03014705_22981_n03014705.JPEG,492,20260813
270,n02089078_8112_n02089078.JPEG,165,20260813
271,n02138441_6965_n02138441.JPEG,299,20260813
275,n03930313_11036_n03930313.JPEG,716,20260813
279,n02444819_1644_n02444819.JPEG,360,20260813
281,n04033901_24529_n04033901.JPEG,749,20260813
286,n06794110_2333_n06794110.JPEG,919,20260813
289,n04350905_18657_n04350905.JPEG,834,20260813
291,n02363005_5259_n02363005.JPEG,337,20260813
292,n04254680_9370_n04254680.JPEG,805,20260813
293,n02321529_805_n02321529.JPEG,329,20260813
294,n01817953_2768_n01817953.JPEG,87,20260813
295,n02391049_1838_n02391049.JPEG,340,20260813
296,n02009912_22985_n02009912.JPEG,132,20260813
