global_row,imagenet_path,class,split_seed
0,n03954731_53652_n03954731.JPEG,726,20260813
2,n01534433_11766_n01534433.JPEG,13,20260813
7,n03452741_11539_n03452741.JPEG,579,20260813
47,n04367480_2685_n04367480.JPEG,840,20260813
78,n04152593_9311_n04152593.JPEG,782,20260813
95,n02445715_12175_n02445715.JPEG,361,20260813
97,n03443371_9070_n03443371.JPEG,572,20260813
99,n02168699_522_n02168699.JPEG,303,20260813
112,n04311004_2467_n04311004.JPEG,821,20260813
120,n03476684_19854_n03476684.JPEG,584,20260813
121,n03983396_6084_n03983396.JPEG,737,20260813
145,n04090263_29371_n04090263.JPEG,764,20260813
159,n04065272_29695_n04065272.JPEG,757,20260813
190,n03976657_47183_n03976657.JPEG,733,20260813
197,n03998194_1849_n03998194.JPEG,741,20260813
199,n03661043_9802_n03661043.JPEG,624,20260813
218,n03976657_23411_n03976657.JPEG,733,20260813
231,n02112350_260_n02112350.JPEG,261,20260813
243,n03895866_28713_n03895866.JPEG,705,20260813
250,n07831146_3175_n07831146.JPEG,959,20260813
263,n02823428_6199_n02823428.JPEG,440,20260813
290,n03110669_17610_n03110669.JPEG,513,20260813
298,n04026417_92321_n04026417.JPEG,748,20260813
322,n02236044_3729_n02236044.JPEG,315,20260813
325,n04532106_17258_n04532106.JPEG,887,20260813
353,n02108422_5503_n02108422.JPEG,243,20260813
375,n02101556_4142_n02101556.JPEG,216,20260813
389,n03207743_19808_n03207743.JPEG,533,20260813
458,n07734744_7046_n07734744.JPEG,947,20260813
463,n07583066_811_n07583066.JPEG,924,20260813
484,n03047690_19207_n03047690.JPEG,502,20260813
499,n09256479_1712_n09256479.JPEG,973,20260813
548,n02085936_9088_n02085936.JPEG,153,20260813
567,n02492660_5246_n02492660.JPEG,379,20260813
589,n03133878_5392_n03133878.JPEG,521,20260813
601,n03417042_1176_n03417042.JPEG,569,20260813
646,n03970156_27616_n03970156.JPEG,731,20260813
674,n03018349_11443_n03018349.JPEG,495,20260813
680,n04606251_2813_n04606251.JPEG,913,20260813
688,n02165456_8497_n02165456.JPEG,301,20260813
745,n02091467_1185_n02091467.JPEG,174,20260813
751,n09193705_8698_n09193705.JPEG,970,20260813
757,n04311174_9851_n04311174.JPEG,822,20260813
767,n01978287_1268_n01978287.JPEG,118,20260813
783,n02676566_8968_n02676566.JPEG,402,20260813
785,n02443484_2566_n02443484.JPEG,359,20260813
