global_row,imagenet_path,class,split_seed
23,n02951585_12410_n02951585.JPEG,473,20260813
33,n03697007_22402_n03697007.JPEG,634,20260813
48,n02025239_2833_n02025239.JPEG,139,20260813
70,n02892767_16332_n02892767.JPEG,459,20260813
108,n02089078_6155_n02089078.JPEG,165,20260813
140,n01768244_11514_n01768244.JPEG,69,20260813
149,n03376595_13927_n03376595.JPEG,559,20260813
162,n02834397_15903_n02834397.JPEG,443,20260813
211,n03534580_15358_n03534580.JPEG,601,20260813
214,n02489166_11512_n02489166.JPEG,376,20260813
217,n03930630_2480_n03930630.JPEG,717,20260813
239,n02096177_2410_n02096177.JPEG,192,20260813
262,n02791270_20551_n02791270.JPEG,424,20260813
274,n04367480_416_n04367480.JPEG,840,20260813
282,n03874599_3164_n03874599.JPEG,695,20260813
308,n02500267_9975_n02500267.JPEG,384,20260813
309,n02108000_5336_n02108000.JPEG,241,20260813
334,n02096051_8793_n02096051.JPEG,191,20260813
338,n01494475_3550_n01494475.JPEG,4,20260813
361,n02134418_2822_n02134418.JPEG,297,20260813
362,n02114712_19475_n02114712.JPEG,271,20260813
365,n01740131_18243_n01740131.JPEG,60,20260813
367,n01616318_1773_n01616318.JPEG,23,20260813
390,n03344393_5281_n03344393.JPEG,554,20260813
397,n02860847_19729_n02860847.JPEG,450,20260813
399,n02939185_19091_n02939185.JPEG,469,20260813
401,n03976657_68220_n03976657.JPEG,733,20260813
420,n02111500_911_n02111500.JPEG,257,20260813
489,n03180011_11482_n03180011.JPEG,527,20260813
495,n02074367_14720_n02074367.JPEG,149,20260813
501,n02280649_3985_n02280649.JPEG,324,20260813
527,n03018349_1420_n03018349.JPEG,495,20260813
533,n02281406_13473_n02281406.JPEG,325,20260813
549,n03240683_14830_n03240683.JPEG,540,20260813
562,n02086646_8781_n02086646.JPEG,156,20260813
579,n03134739_403_n03134739.JPEG,522,20260813
588,n07714571_24126_n07714571.JPEG,936,20260813
602,n01592084_4500_n01592084.JPEG,19,20260813
610,n02869837_7795_n02869837.JPEG,452,20260813
623,n02992211_52405_n02992211.JPEG,486,20260813
651,n04350905_25248_n04350905.JPEG,834,20260813
657,n07565083_12526_n07565083.JPEG,922,20260813
676,n01531178_13528_n01531178.JPEG,11,20260813
728,n03459775_1720_n03459775.JPEG,581,20260813
730,n03452741_14199_n03452741.JPEG,579,20260813
733,n03394916_3228_n03394916.JPEG,566,20260813
738,n07714990_7654_n07714990.JPEG,937,20260813
744,n02109047_6599_n02109047.JPEG,246,20260813
791,n02037110_6701_n02037110.JPEG,143,20260813
815,n04009552_3286_n04009552.JPEG,745,20260813
816,n02100236_9906_n02100236.JPEG,210,20260813
874,n03891332_2691_n03891332.JPEG,704,20260813
882,n04039381_5512_n04039381.JPEG,752,20260813
896,n01843383_3546_n01843383.JPEG,96,20260813
897,n02106166_15669_n02106166.JPEG,232,20260813
902,n03388183_15326_n03388183.JPEG,563,20260813
903,n04254777_16347_n04254777.JPEG,806,20260813
918,n02086910_664_n02086910.JPEG,157,20260813
920,n01872401_7014_n01872401.JPEG,102,20260813
938,n02086079_19928_n02086079.JPEG,154,20260813
944,n02123045_909_n02123045.JPEG,281,20260813
953,n04356056_420_n04356056.JPEG,837,20260813
957,n04592741_21195_n04592741.JPEG,908,20260813
969,n03720891_1423_n03720891.JPEG,641,20260813
978,n04493381_13491_n04493381.JPEG,876,20260813
980,n01440764_6707_n01440764.JPEG,0,20260813
985,n02105505_4805_n02105505.JPEG,228,20260813
993,n03884397_25478_n03884397.JPEG,699,20260813
1026,n07880968_2184_n07880968.JPEG,965,20260813
1034,n09421951_1088_n09421951.JPEG,977,20260813
1047,n04344873_14723_n04344873.JPEG,831,20260813
1067,n02948072_24963_n02948072.JPEG,470,20260813
1094,n04254777_37262_n04254777.JPEG,806,20260813
1103,n04099969_57766_n04099969.JPEG,765,20260813
1106,n01748264_19209_n01748264.JPEG,63,20260813
1114,n01632777_7612_n01632777.JPEG,29,20260813
1135,n03179701_59582_n03179701.JPEG,526,20260813
1141,n04336792_8121_n04336792.JPEG,830,20260813
1183,n02007558_6600_n02007558.JPEG,130,20260813
1186,n02092339_7500_n02092339.JPEG,178,20260813
1200,n01978455_4226_n01978455.JPEG,119,20260813
1201,n11879895_10102_n11879895.JPEG,984,20260813
1205,n01945685_786_n01945685.JPEG,114,20260813
1206,n01704323_6706_n01704323.JPEG,51,20260813
1213,n03947888_18443_n03947888.JPEG,724,20260813
1220,n02655020_25566_n02655020.JPEG,397,20260813
1231,n02793495_24821_n02793495.JPEG,425,20260813
1266,n04317175_5435_n04317175.JPEG,823,20260813
1284,n03481172_4501_n03481172.JPEG,587,20260813
1337,n04146614_10276_n04146614.JPEG,779,20260813
1376,n04462240_13498_n04462240.JPEG,865,20260813
1384,n04154565_5239_n04154565.JPEG,784,20260813
1386,n04458633_3456_n04458633.JPEG,863,20260813
1407,n01631663_1976_n01631663.JPEG,27,20260813
1419,n01847000_467_n01847000.JPEG,97,20260813
1444,n07836838_15723_n07836838.JPEG,960,20260813
1448,n07836838_5292_n07836838.JPEG,960,20260813
1454,n01833805_202_n01833805.JPEG,94,20260813
1458,n03888605_11775_n03888605.JPEG,702,20260813
1469,n03527444_17909_n03527444.JPEG,597,20260813
1482,n01770393_3497_n01770393.JPEG,71,20260813
1483,n02363005_42185_n02363005.JPEG,337,20260813
1525,n06359193_8451_n06359193.JPEG,916,20260813
1545,n02979186_26217_n02979186.JPEG,482,20260813
1549,n03216828_11697_n03216828.JPEG,536,20260813
1551,n02091635_4329_n02091635.JPEG,175,20260813
1571,n01855032_4206_n01855032.JPEG,98,20260813
1580,n01773797_89_n01773797.JPEG,74,20260813
1581,n04548362_74675_n04548362.JPEG,893,20260813
1587,n03085013_23295_n03085013.JPEG,508,20260813
1588,n03000247_27044_n03000247.JPEG,490,20260813
1602,n02992529_5666_n02992529.JPEG,487,20260813
1606,n03929660_9761_n03929660.JPEG,714,20260813
1610,n03197337_9860_n03197337.JPEG,531,20260813
1630,n02727426_24220_n02727426.JPEG,410,20260813
1631,n02268443_35027_n02268443.JPEG,319,20260813
1639,n03249569_28245_n03249569.JPEG,541,20260813
1658,n04357314_1166_n04357314.JPEG,838,20260813
1668,n03400231_2200_n03400231.JPEG,567,20260813
1705,n07697537_634_n07697537.JPEG,934,20260813
1714,n02492035_2073_n02492035.JPEG,378,20260813
1717,n03355925_15186_n03355925.JPEG,557,20260813
1718,n01667778_10629_n01667778.JPEG,36,20260813
1726,n02510455_7030_n02510455.JPEG,388,20260813
1729,n03991062_22819_n03991062.JPEG,738,20260813
1730,n03633091_17609_n03633091.JPEG,618,20260813
1746,n04204347_4456_n04204347.JPEG,791,20260813
1751,n01828970_5077_n01828970.JPEG,92,20260813
1808,n03980874_6557_n03980874.JPEG,735,20260813
1842,n02098105_4186_n02098105.JPEG,202,20260813
1852,n04065272_29023_n04065272.JPEG,757,20260813
1870,n04005630_24649_n04005630.JPEG,743,20260813
1898,n03325584_871_n03325584.JPEG,552,20260813
1903,n04355338_19218_n04355338.JPEG,835,20260813
1933,n01770393_7237_n01770393.JPEG,71,20260813
1973,n02167151_1681_n02167151.JPEG,302,20260813
1974,n02486410_1697_n02486410.JPEG,372,20260813
2022,n03954731_28032_n03954731.JPEG,726,20260813
2024,n03218198_25285_n03218198.JPEG,537,20260813
2045,n03617480_6940_n03617480.JPEG,614,20260813
2046,n02859443_29704_n02859443.JPEG,449,20260813
2051,n13037406_4657_n13037406.JPEG,993,20260813
