r_target,r_realized_median,n_cal,lambda,top1,nll,ece,base_agreement,logit_mse_median,logit_mse_p99,passes_gate
0.25,0.24999989569187164,16384,0.001,0.93798828125,0.3245756860015535,0.12074616640578259,0.9984130859375,0.00047077487560018446,0.008174295390274419,False
0.25,0.24999989569187164,16384,1.0,0.9378662109375,0.32450543403035426,0.12058039438727611,0.9981689453125,0.00045965109323283155,0.007613548490680423,False
0.25,0.24999989569187164,16384,100.0,0.938232421875,0.32475390111459124,0.12137723779317523,0.9981689453125,0.0005390510733150908,0.005762313817765585,True
0.25,0.24999989569187164,32768,0.001,0.9383544921875,0.3243615496277386,0.12096635431140208,0.998291015625,0.0004162745549022509,0.006397136429006534,True
0.25,0.24999989569187164,32768,1.0,0.938232421875,0.3243441060624742,0.12083201493891667,0.9981689453125,0.0004149750367854759,0.006270673263265819,True
0.25,0.24999989569187164,32768,100.0,0.9381103515625,0.32447627376078664,0.1209817454611079,0.998291015625,0.000472131773504434,0.005524349876953777,True
0.375,0.37499968707561493,16384,0.001,0.9381103515625,0.3261850489805236,0.12168847374978728,0.9976806640625,0.0010252798698752645,0.0176725835453419,False
0.375,0.37499968707561493,16384,1.0,0.93798828125,0.3260294048216372,0.12146999050006649,0.99755859375,0.0009988148597771802,0.016487864838830076,True
0.375,0.37499968707561493,16384,100.0,0.9383544921875,0.3265364865086189,0.1227689353808819,0.997802734375,0.0011771186250259722,0.012754120369671634,True
0.375,0.37499968707561493,32768,0.001,0.93798828125,0.3256812800330958,0.12122238951820594,0.998046875,0.0009039955758681705,0.013912110075158734,True
0.375,0.37499968707561493,32768,1.0,0.93798828125,0.32564338184987734,0.12119868580545819,0.9979248046875,0.0009009636340421303,0.013632980041714043,True
0.375,0.37499968707561493,32768,100.0,0.9384765625,0.3259234927885454,0.12227987120454623,0.9979248046875,0.0010274366720855058,0.012230690828144646,True
0.5,0.4999997913837433,16384,0.001,0.9373779296875,0.32842249748336166,0.12205175673579124,0.996337890625,0.0017540724759447525,0.03027406054759028,True
0.5,0.4999997913837433,16384,1.0,0.9373779296875,0.3281599531336033,0.12189466084806858,0.99658203125,0.0017060823270897592,0.02833159620646016,True
0.5,0.4999997913837433,16384,100.0,0.9384765625,0.328995333640092,0.12459456393456775,0.99755859375,0.002019492784830825,0.02218189132879631,True
0.5,0.4999997913837433,32768,0.001,0.93798828125,0.3275277343787475,0.12205538098002373,0.996826171875,0.001543686348518147,0.023801842539804493,True
0.5,0.4999997913837433,32768,1.0,0.9378662109375,0.3274656700921972,0.12189832336905991,0.9969482421875,0.001538673369731338,0.023292477020947472,True
0.5,0.4999997913837433,32768,100.0,0.9383544921875,0.3279292107868687,0.12340586743173461,0.99755859375,0.0017588433592749466,0.021125326113982337,True
