r_target,n_cal,lambda,calib_residual,heldout_cls_residual,uncorrected_heldout_cls_residual,residual_ratio,logit_mse_median,logit_mse_p99,unc_logit_mse_p99,passes_gate
0.25,16384,0.001,0.05601816615296322,0.10020510594933832,0.12481824354164907,0.802808172155556,0.00047077487560018446,0.008174295390274419,0.007376117279838586,False
0.25,16384,1.0,0.056765517637650545,0.09758753810684034,0.12481824354164907,0.7818371364461443,0.00045965109323283155,0.007613548490680423,0.007376117279838586,False
0.25,16384,100.0,0.07025836971257761,0.09447567132518402,0.12481824354164907,0.7569059509610836,0.0005390510733150908,0.005762313817765585,0.007376117279838586,True
0.25,32768,0.001,0.06160274478882226,0.09078342765347161,0.12481824354164907,0.7273249893408347,0.0004162745549022509,0.006397136429006534,0.007376117279838586,True
0.25,32768,1.0,0.06191850959086556,0.09023333660636283,0.12481824354164907,0.7229178527596727,0.0004149750367854759,0.006270673263265819,0.007376117279838586,True
0.25,32768,100.0,0.06860732582946814,0.0903260216369763,0.12481824354164907,0.7236604127251359,0.000472131773504434,0.005524349876953777,0.007376117279838586,True
0.375,16384,0.001,0.08280405221806146,0.14697965180556039,0.19224524251383174,0.7645424660898198,0.0010252798698752645,0.0176725835453419,0.017264394962873006,False
0.375,16384,1.0,0.08383573150696899,0.14331757961344793,0.19224524251383174,0.7454935047515491,0.0009988148597771802,0.016487864838830076,0.017264394962873006,True
0.375,16384,100.0,0.10407284263713841,0.13963762816506817,0.19224524251383174,0.7263515410792102,0.0011771186250259722,0.012754120369671634,0.017264394962873006,True
0.375,32768,0.001,0.09106632532974335,0.13329658590733143,0.19224524251383174,0.6933674101076439,0.0009039955758681705,0.013912110075158734,0.017264394962873006,True
0.375,32768,1.0,0.09148622259739497,0.13250152679709593,0.19224524251383174,0.689231759727748,0.0009009636340421303,0.013632980041714043,0.017264394962873006,True
0.375,32768,100.0,0.1015162498461313,0.13311669904286721,0.19224524251383174,0.6924316945491625,0.0010274366720855058,0.012230690828144646,0.017264394962873006,True
0.5,16384,0.001,0.10843110184750879,0.19076453147267655,0.2659633133156791,0.7172588169942558,0.0017540724759447525,0.03027406054759028,0.032415567304573484,True
0.5,16384,1.0,0.10966344251637014,0.186309010974153,0.2659633133156791,0.7005064294450933,0.0017060823270897592,0.02833159620646016,0.032415567304573484,True
0.5,16384,100.0,0.13657472866211962,0.18296087417263698,0.2659633133156791,0.6879177127541487,0.002019492784830825,0.02218189132879631,0.032415567304573484,True
0.5,32768,0.001,0.1192299876031673,0.17323940342381305,0.2659633133156791,0.6513657890033522,0.001543686348518147,0.023801842539804493,0.032415567304573484,True
0.5,32768,1.0,0.11970899661493034,0.1722486515546764,0.2659633133156791,0.647640644144893,0.001538673369731338,0.023292477020947472,0.032415567304573484,True
0.5,32768,100.0,0.13303652154258616,0.17378216865844978,0.2659633133156791,0.6534065412705361,0.0017588433592749466,0.021125326113982337,0.032415567304573484,True
