method,id_error_auroc,near_auroc,far_auroc,near_fpr95,far_fpr95,note
MSP,0.8561393595374974,0.7351724446054271,0.8603523722605178,0.81841,0.5173866666666666,
Base entropy (raw),0.8239514198423787,0.7294826813258883,0.8741510080719804,0.85929,0.55662,
Base entropy (T=0.7),0.8680955900465526,0.7453244517297473,0.8642274195967174,0.75744,0.49230666666666667,
Mahalanobis,0.7800110782828242,0.7881893086515477,0.925540085238454,0.66364,0.30228666666666665,
Mahalanobis (unconditional),0.7121759459973352,0.755377856602157,0.9113085789595999,0.72683,0.36394,
P&C expected member entropy,0.857780880162153,0.7654721757813698,0.8784920117793437,0.67604,0.45743333333333336,
P&C predictive entropy,0.8558110999792324,0.7642543593404925,0.8773914998889545,0.6763,0.4573133333333333,
P&C mutual information,0.8092137107268504,0.7396997904566236,0.8429605406144347,0.68299,0.42512666666666665,
P&C K=5,0.8549471881879134,0.7653137188727849,0.878166154128856,0.683416,0.4557746666666668,"r=2.0, lam=1000, realized r=2.000, dAcc=-0.235 pp"
P&C K=20,0.8536760074367848,0.7649065574896812,0.8792542882054525,0.6805779999999999,0.4498573333333333,"r=2.0, lam=1000, realized r=2.000, dAcc=-0.255 pp"
P&C K=40,0.853459036838139,0.765069726327218,0.879338832508572,0.6795039999999999,0.4476906666666666,"r=2.0, lam=1000, realized r=2.000, dAcc=-0.261 pp"
P&C K=80,0.854549177887832,0.7641169859122855,0.8793403999217464,0.682002,0.4471946666666667,"r=2.0, lam=1000, realized r=2.000, dAcc=-0.260 pp"
LLLA-Kron,0.8239514237517354,0.7294826822105315,0.8741510081036511,0.85929,0.55662,"prior=1e+09, T=1.0000"
LLLA-Kron+Temp,0.8677718692513887,0.7453656644404332,0.8648675612952649,0.76084,0.4916666666666667,"prior=1e+09, T=0.7063"
SCOD-linear,0.8561281422900746,0.7514572349068459,0.8848168388077641,0.73183,0.4336866666666666,"k=30, T=184, q=None, N=32768"
SCOD-ffn,0.8257347211056087,0.720233418597568,0.846262215661854,0.75407,0.4638466666666667,"k=30, T=184, q=None, N=32768"
SCOD-last-block,,,,,,NOT_RUN
