token_mode,row_budget,rows_used,images_used,rows_per_image,rows_over_correction_dim,gram_eig_min,gram_eig_max,cond_gram,cond_regularised,solve_ok,calib_residual,heldout_residual,heldout_cls_residual,heldout_logit_mse,heldout_logit_max_abs,heldout_top1_agreement,delta_vs_uncorrected,solve_time_s,accum_time_s,images_time_s,peak_allocated_gib,notes
cls,4096,4096,4096,1,1.333,4e-06,28682.579194,6528232863.57504,28557111.07911,True,0.029947,0.364814,0.364814,1.802325e-01,5.13793,0.98828,-0.137817,0.3829,0.221,29.57,,"same-mode uncorrected held-out residual 0.2270; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls,8192,8192,8192,1,2.666,9.8e-05,56192.697063,575749100.028124,51196004.895848,True,0.060844,0.159931,0.159931,4.497567e-03,2.12641,0.99023,0.067066,0.2887,0.439,59.17,,"same-mode uncorrected held-out residual 0.2270; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls,16384,16384,16384,1,5.332,0.000603,110544.219135,183255953.851186,68951240.898579,True,0.081016,0.134825,0.134825,2.874471e-03,1.31965,0.99219,0.092171,0.276,0.872,117.97,,"same-mode uncorrected held-out residual 0.2270; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls,32768,32768,32768,1,10.663,0.033662,222959.61685,6623525.228645,6432435.066564,True,0.137043,0.125734,0.125734,2.615632e-03,1.09561,0.99609,0.101263,0.2741,1.745,235.59,,"same-mode uncorrected held-out residual 0.2270; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls+16,4096,4096,256,17,1.333,0.00536,144969.021468,27047217.395923,22794409.947938,True,0.014589,0.098075,0.673462,8.908638e-02,3.49944,0.99023,0.077954,0.2943,0.025,1.98,,"same-mode uncorrected held-out residual 0.1760; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls+16,8192,8192,496,17,2.666,0.049437,287333.188945,5812127.973811,5696892.20567,True,0.026669,0.059253,0.404589,3.686187e-02,2.75751,0.98828,0.116776,0.287,0.049,3.67,,"same-mode uncorrected held-out residual 0.1760; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls+16,16384,16384,976,17,5.332,0.135528,586150.037405,4324926.648265,4293248.783281,True,0.030976,0.049777,0.326166,2.659251e-02,2.2693,0.99023,0.126253,0.3189,0.097,7.04,,"same-mode uncorrected held-out residual 0.1760; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls+16,32768,32768,1936,17,10.663,0.327435,1198383.57863,3659909.406938,3648765.938885,True,0.033606,0.043897,0.256575,2.285794e-02,2.31081,0.99414,0.132132,0.2893,0.194,13.91,,"same-mode uncorrected held-out residual 0.1760; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls+16,65536,65536,3856,17,21.326,0.739294,2377351.122833,3215705.344712,3211361.523095,True,0.035403,0.040656,0.20122,2.102818e-02,2.08533,0.99219,0.135374,0.2724,0.4,28.77,,"same-mode uncorrected held-out residual 0.1760; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
cls+16,131072,131072,7711,17,42.653,1.75151,4470667.236076,2552464.901836,2551008.439834,True,0.039312,0.039274,0.154583,4.343291e-03,1.35047,0.98828,0.136755,0.2925,0.795,57.18,,"same-mode uncorrected held-out residual 0.1760; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
all,4096,4096,32,197,1.333,0.003192,159991.507577,50125727.212226,38167695.873462,True,0.010972,0.094009,0.769592,9.795935e-02,3.40521,0.97852,0.080879,0.269,0.017,0.37,,"same-mode uncorrected held-out residual 0.1749; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
all,8192,8192,48,197,2.666,0.026854,321628.440821,11977105.63768,11547103.651796,True,0.020155,0.059149,0.480126,4.350401e-02,3.70477,0.98633,0.115739,0.2827,0.03,0.48,,"same-mode uncorrected held-out residual 0.1749; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
all,16384,16384,96,197,5.332,0.13025,603498.353094,4633383.000275,4598081.054792,True,0.028182,0.048803,0.39189,3.049596e-02,2.74945,0.98438,0.126085,0.2714,0.057,0.81,,"same-mode uncorrected held-out residual 0.1749; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
all,32768,32768,176,197,10.663,0.305416,1201433.59388,3933756.095359,3920918.155884,True,0.030206,0.045046,0.361894,2.601741e-02,2.41341,0.98633,0.129842,0.2914,0.108,1.37,,"same-mode uncorrected held-out residual 0.1749; common CLS yardstick: uncorrected residual 0.2270, uncorrected logit MSE 6.681e-03, uncorrected top-1 agreement 0.9902; lambda=0.001; original-centred"
