token_mode,row_budget,rows_over_correction_dim,ridge_lambda,lambda_per_row,cond_regularised,n_eval_images,uncorrected_mean_mse,corrected_mean_mse,uncorrected_median_mse,corrected_median_mse,median_improvement_x,corrected_p90_mse,corrected_p99_mse,corrected_max_mse,uncorrected_p99_mse,uncorrected_max_mse,frac_images_improved,uncorrected_top1_agreement,corrected_top1_agreement,heldout_cls_residual,solve_time_s,notes
cls,8192,2.666,0.001,1.221e-07,5.12e+07,2048,6.128857e-03,7.016734e-03,4.513045e-03,1.542871e-03,2.925,1.740022e-02,7.860203e-02,3.775911e-01,2.421411e-02,4.170286e-02,0.8125,0.98828,0.98584,0.485143,0.3943,8192 calibration images; original-centred
cls,8192,2.666,1.0,1.221e-04,5.619e+04,2048,6.128857e-03,2.988979e-03,4.513045e-03,1.140722e-03,3.956,7.647684e-03,2.245022e-02,4.731866e-02,2.421411e-02,4.170286e-02,0.916,0.98828,0.99023,0.209249,0.3082,8192 calibration images; original-centred
cls,8192,2.666,100.0,1.221e-02,562.9,2048,6.128857e-03,3.196950e-03,4.513045e-03,1.736360e-03,2.599,7.904481e-03,1.735144e-02,3.204239e-02,2.421411e-02,4.170286e-02,0.9868,0.98828,0.99023,0.189184,0.3104,8192 calibration images; original-centred
cls,8192,2.666,10000.0,1.221e+00,6.619,2048,6.128857e-03,5.387402e-03,4.513045e-03,3.776685e-03,1.195,1.119626e-02,2.292356e-02,4.277223e-02,2.421411e-02,4.170286e-02,0.9663,0.98828,0.98828,0.204353,0.2901,8192 calibration images; original-centred
cls,16384,5.332,0.001,6.104e-08,6.895e+07,2048,6.128857e-03,2.710920e-03,4.513045e-03,9.670467e-04,4.667,5.983099e-03,3.076289e-02,1.499285e-01,2.421411e-02,4.170286e-02,0.9717,0.98828,0.98926,0.131485,0.3155,16384 calibration images; original-centred
cls,16384,5.332,1.0,6.104e-05,1.105e+05,2048,6.128857e-03,2.162423e-03,4.513045e-03,9.097216e-04,4.961,5.329099e-03,1.727416e-02,4.770404e-02,2.421411e-02,4.170286e-02,0.9863,0.98828,0.99023,0.112422,0.2976,16384 calibration images; original-centred
cls,16384,5.332,100.0,6.104e-03,1106,2048,6.128857e-03,2.664275e-03,4.513045e-03,1.467849e-03,3.075,6.461114e-03,1.630415e-02,2.855050e-02,2.421411e-02,4.170286e-02,0.9985,0.98828,0.99023,0.130907,0.3067,16384 calibration images; original-centred
cls,16384,5.332,10000.0,6.104e-01,12.05,2048,6.128857e-03,5.260753e-03,4.513045e-03,3.664474e-03,1.232,1.109577e-02,2.256929e-02,3.865990e-02,2.421411e-02,4.170286e-02,0.9893,0.98828,0.98828,0.198026,0.3029,16384 calibration images; original-centred
cls,32768,10.663,0.001,3.052e-08,6.432e+06,2048,6.128857e-03,2.397310e-03,4.513045e-03,1.218744e-03,3.703,6.170046e-03,1.417410e-02,3.159166e-02,2.421411e-02,4.170286e-02,0.9897,0.98828,0.99121,0.122297,0.3114,32768 calibration images; original-centred
cls,32768,10.663,1.0,3.052e-05,2.157e+05,2048,6.128857e-03,2.389290e-03,4.513045e-03,1.212420e-03,3.722,6.148150e-03,1.384374e-02,2.872731e-02,2.421411e-02,4.170286e-02,0.9917,0.98828,0.99072,0.121923,0.3126,32768 calibration images; original-centred
cls,32768,10.663,100.0,3.052e-03,2230,2048,6.128857e-03,2.670136e-03,4.513045e-03,1.511817e-03,2.985,6.509842e-03,1.434119e-02,2.824622e-02,2.421411e-02,4.170286e-02,0.998,0.98828,0.99219,0.131926,0.3254,32768 calibration images; original-centred
cls,32768,10.663,10000.0,3.052e-01,23.3,2048,6.128857e-03,5.247425e-03,4.513045e-03,3.659334e-03,1.233,1.102031e-02,2.268870e-02,3.901019e-02,2.421411e-02,4.170286e-02,0.9746,0.98828,0.98828,0.197194,0.3043,32768 calibration images; original-centred
