test,batch_size,dtype,target_block,member_count,token_mode,current_allocated_gib,peak_allocated_gib,peak_reserved_gib,nvsmi_used_gib,cpu_rss_gib,wall_time_s,status,notes
base_inference,1,float32,n/a,1,n/a,0.348,0.3565,0.3984,1.4336,0.7736,0.3516,ok,"median 11.1 ms, mean 11.3 ms, 90.1 img/s"
base_inference,2,float32,n/a,1,n/a,0.348,0.3681,0.4141,1.4492,0.7788,0.4098,ok,"median 17.7 ms, mean 17.8 ms, 113.0 img/s"
base_inference,4,float32,n/a,1,n/a,0.348,0.3801,0.4336,1.4688,0.779,0.62202,ok,"median 26.9 ms, mean 27.0 ms, 148.8 img/s"
base_inference,8,float32,n/a,1,n/a,0.348,0.4113,0.4863,1.5215,0.7791,1.23184,ok,"median 53.6 ms, mean 53.5 ms, 149.1 img/s"
base_inference,16,float32,n/a,1,n/a,0.348,0.4742,0.5547,1.5898,0.7791,2.48114,ok,"median 107.9 ms, mean 107.8 ms, 148.3 img/s"
base_inference,32,float32,n/a,1,n/a,0.348,0.6007,0.7109,1.7461,0.793,5.96066,ok,"median 259.4 ms, mean 259.3 ms, 123.4 img/s"
base_inference,64,float32,n/a,1,n/a,0.348,0.8533,1.0156,2.0508,0.7932,15.61235,ok,"median 679.3 ms, mean 679.7 ms, 94.2 img/s"
base_inference,128,float32,n/a,1,n/a,0.348,1.3597,1.623,2.6582,0.7932,22.65734,ok,"median 983.5 ms, mean 985.7 ms, 130.1 img/s"
base_inference,256,float32,n/a,1,n/a,0.348,2.3715,2.8516,3.8867,0.7933,60.66374,ok,"median 2635.5 ms, mean 2636.8 ms, 97.1 img/s"
sustained_throughput,16,float32,n/a,1,n/a,0.357,0.357,0.5371,1.5723,0.7948,1e-05,ok,"90s sustained: 131.1 -> 129.9 img/s (0.9% decay), settled 129.6 img/s; clock 1544.0 -> 1417.0 MHz, temp 87.0 -> 87.0 C"
activation_capture,16,float32,11,1,all,0.4201,0.4201,0.4883,1.5234,0.7957,1e-05,ok,"T=197; h 9.2 MiB, y 36.9 MiB, z 9.2 MiB; retaining all three costs 55.4 MiB"
perturbation_basis,,float32,11,20,n/a,0.348,0.348,0.3926,1.4277,1.0231,2e-05,ok,"U (20, 2359296) = 180.0 MiB CPU built in 0.87s (no GPU); one dW1 (768, 3072) = 9.0 MiB in 7.6 ms"
perturbed_member_forward,16,float32,11,1,n/a,0.3837,0.4829,0.5742,1.6094,1.0205,1.47378,ok,median 114.3 ms
xtx_accumulation,16,float32,11,1,cls,0.4008,0.5358,0.6484,1.6836,1.1565,4.36994,ok,512 rows from 512 images (1.0 rows/img); accum 0.05s of 4.37s total
xtx_accumulation,16,float32,11,1,cls+4,0.4008,0.536,0.6504,1.6855,1.1557,4.34069,ok,2560 rows from 512 images (5.0 rows/img); accum 0.03s of 4.34s total
xtx_accumulation,16,float32,11,1,cls+16,0.4008,0.536,0.6484,1.6836,1.1618,4.40967,ok,8704 rows from 512 images (17.0 rows/img); accum 0.05s of 4.41s total
xtx_accumulation,16,float32,11,1,all,0.4008,0.5901,0.6855,1.7207,1.1644,4.66424,ok,100864 rows from 512 images (197.0 rows/img); accum 0.32s of 4.66s total
member_construction,16,float32,11,1,cls+16,0.4097,0.5448,0.7402,1.7754,1.5984,8.58654,ERROR,KeyError: 'images_used'
corrected_member_inference,16,float32,11,1,cls+16,0.4273,0.5355,0.6309,1.666,1.6269,4.63832,ok,512 held-out ID images
member_construction,16,float32,11,1,cls,0.4008,0.5358,0.7207,1.7607,1.328,138.94043,ok,16384 rows from 16384 images; accumulate 138.5s + solve 0.43s
corrected_member_inference,16,float32,11,1,cls,0.4185,0.5267,0.6309,1.6709,1.4032,4.46791,ok,512 held-out ID images
member_construction,16,float32,11,1,cls,0.4008,0.5358,0.7207,1.7568,1.3361,282.80939,ok,32768 rows from 32768 images; accumulate 282.4s + solve 0.38s
corrected_member_inference,16,float32,11,1,cls,0.4185,0.5267,0.6309,1.667,1.4026,4.46233,ok,512 held-out ID images
cache_h_z_once,16,float32,11,20,cls,0.5355,0.6436,0.9316,1.9678,1.3744,277.43889,ok,cached 32768 rows of h and z from 32768 images in 277.4s = 192.0 MiB on GPU
member_from_cached_h,,float32,11,20,cls,0.5355,1.4001,1.7266,2.7627,1.6904,9.03567,ok,20 members from cached h: median 0.45s/member
ensemble_resident,16,float32,11,1,cls,0.542,0.6322,0.75,1.7861,1.5634,0.1593,ok,resident; prefix once + 1 sequential tails; median 8.6 ms
ensemble_resident,16,float32,11,5,cls,0.542,0.6322,0.75,1.7861,1.5634,0.30835,ok,resident; prefix once + 5 sequential tails; median 32.1 ms
ensemble_resident,16,float32,11,20,cls,0.542,0.6322,0.75,1.7861,1.5634,0.91231,ok,resident; prefix once + 20 sequential tails; median 128.2 ms
ensemble_resident_precomputed_W1,16,float32,11,1,cls,0.7178,0.808,0.9453,1.9814,1.5634,0.1107,ok,resident_precomputed_W1; prefix once + 1 sequential tails; median 0.4 ms
ensemble_resident_precomputed_W1,16,float32,11,5,cls,0.7178,0.808,0.9453,1.9814,1.5634,0.11409,ok,resident_precomputed_W1; prefix once + 5 sequential tails; median 1.6 ms
