test,batch_size,dtype,target_block,member_count,token_mode,current_allocated_gib,peak_allocated_gib,peak_reserved_gib,nvsmi_used_gib,cpu_rss_gib,wall_time_s,status,notes
base_inference,1,float32,n/a,1,n/a,0.348,0.3565,0.3984,1.4336,0.7734,0.34636,ok,"median 11.6 ms, mean 11.6 ms, 86.1 img/s"
base_inference,2,float32,n/a,1,n/a,0.348,0.3681,0.4141,1.4492,0.7788,0.40884,ok,"median 17.7 ms, mean 17.7 ms, 113.2 img/s"
base_inference,4,float32,n/a,1,n/a,0.348,0.3801,0.4336,1.4688,0.7789,0.62505,ok,"median 27.0 ms, mean 27.1 ms, 148.1 img/s"
base_inference,8,float32,n/a,1,n/a,0.348,0.4113,0.4863,1.5215,0.7791,1.23395,ok,"median 53.8 ms, mean 53.7 ms, 148.6 img/s"
base_inference,16,float32,n/a,1,n/a,0.348,0.4742,0.5547,1.5898,0.7791,2.47619,ok,"median 107.6 ms, mean 107.7 ms, 148.7 img/s"
base_inference,32,float32,n/a,1,n/a,0.348,0.6007,0.7109,1.7461,0.793,5.97416,ok,"median 259.8 ms, mean 259.6 ms, 123.2 img/s"
base_inference,64,float32,n/a,1,n/a,0.348,0.8533,1.0156,2.0508,0.7931,15.59904,ok,"median 678.8 ms, mean 677.3 ms, 94.3 img/s"
base_inference,128,float32,n/a,1,n/a,0.348,1.3597,1.623,2.6582,0.7931,22.63986,ok,"median 984.1 ms, mean 984.7 ms, 130.1 img/s"
base_inference,256,float32,n/a,1,n/a,0.348,2.3715,2.8516,3.8867,0.7933,61.67322,ok,"median 2636.4 ms, mean 2688.6 ms, 97.1 img/s"
activation_capture,4,float32,11,1,all,0.3666,0.3666,0.4121,1.4473,0.7945,1e-05,ok,"T=197; h 2.3 MiB, y 9.2 MiB, z 2.3 MiB; retaining all three costs 13.9 MiB"
perturbation_basis,,float32,11,20,n/a,0.348,0.348,0.3926,1.4277,1.0231,3e-05,ok,"U (20, 2359296) = 180.0 MiB CPU built in 0.89s (no GPU); one dW1 (768, 3072) = 9.0 MiB in 7.7 ms"
perturbed_member_forward,4,float32,11,1,n/a,0.3707,0.3955,0.4531,1.4883,1.0207,0.41557,ok,median 31.5 ms
