test,batch_size,dtype,token_mode,member_count,rows_per_image,rows_per_s,images_per_s,median_s,mean_s,xtx_accum_s_per_batch,proj_1000_images_s,proj_4000_images_s,rows_over_correction_dim,peak_allocated_gib,peak_reserved_gib,notes
base_inference,1,float32,n/a,1,,,90.12,0.011097,0.011336,,,,,0.3565,0.3984,20 timed iters after 3 warmup
base_inference,2,float32,n/a,1,,,112.98,0.017701,0.017787,,,,,0.3681,0.4141,20 timed iters after 3 warmup
base_inference,4,float32,n/a,1,,,148.77,0.026886,0.027002,,,,,0.3801,0.4336,20 timed iters after 3 warmup
base_inference,8,float32,n/a,1,,,149.13,0.053645,0.053544,,,,,0.4113,0.4863,20 timed iters after 3 warmup
base_inference,16,float32,n/a,1,,,148.32,0.107873,0.107821,,,,,0.4742,0.5547,20 timed iters after 3 warmup
base_inference,32,float32,n/a,1,,,123.37,0.259392,0.259322,,,,,0.6007,0.7109,20 timed iters after 3 warmup
base_inference,64,float32,n/a,1,,,94.21,0.679325,0.679733,,,,,0.8533,1.0156,20 timed iters after 3 warmup
base_inference,128,float32,n/a,1,,,130.15,0.983499,0.985721,,,,,1.3597,1.623,20 timed iters after 3 warmup
base_inference,256,float32,n/a,1,,,97.13,2.635531,2.636785,,,,,2.3715,2.8516,20 timed iters after 3 warmup
sustained_throughput,16,float32,n/a,1,,,129.57,0.123485,,,,,,0.357,0.5371,settled over 90s; 0.9% thermal decay
xtx_accumulation,16,float32,cls,1,1.0,117.2,117.16,,,0.00157,8.5,34.1,0.167,0.5358,0.6484,"512 calibration images, G/C on GPU = 45.0 MiB"
xtx_accumulation,16,float32,cls+4,1,5.0,589.8,117.95,,,0.00097,8.5,33.9,0.833,0.536,0.6504,"512 calibration images, G/C on GPU = 45.0 MiB"
xtx_accumulation,16,float32,cls+16,1,17.0,1973.9,116.11,,,0.00156,8.6,34.5,2.832,0.536,0.6484,"512 calibration images, G/C on GPU = 45.0 MiB"
xtx_accumulation,16,float32,all,1,197.0,21625.1,109.77,,,0.00999,9.1,36.4,32.823,0.5901,0.6855,"512 calibration images, G/C on GPU = 45.0 MiB"
ensemble_resident,16,float32,cls,1,,,1867.42,0.008568,0.008076,,,,,0.6322,0.75,"shared prefix, resident corrections"
ensemble_resident,16,float32,cls,5,,,499.17,0.032053,0.032507,,,,,0.6322,0.75,"shared prefix, resident corrections"
ensemble_resident,16,float32,cls,20,,,124.81,0.128194,0.129227,,,,,0.6322,0.75,"shared prefix, resident corrections"
ensemble_resident_precomputed_W1,16,float32,cls,1,,,36501.68,0.000438,0.00052,,,,,0.808,0.9453,"shared prefix, resident_precomputed_W1 corrections; 20 perturbed W1 precomputed (180 MiB GPU)"
ensemble_resident_precomputed_W1,16,float32,cls,5,,,10222.44,0.001565,0.001717,,,,,0.808,0.9453,"shared prefix, resident_precomputed_W1 corrections; 20 perturbed W1 precomputed (180 MiB GPU)"
ensemble_resident_precomputed_W1,16,float32,cls,20,,,3322.81,0.004815,0.004958,,,,,0.808,0.9453,"shared prefix, resident_precomputed_W1 corrections; 20 perturbed W1 precomputed (180 MiB GPU)"
ensemble_streaming,16,float32,cls,1,,,1794.78,0.008915,0.009498,,,,,0.6322,0.75,"shared prefix, streaming corrections"
ensemble_streaming,16,float32,cls,5,,,403.01,0.039701,0.039835,,,,,0.6322,0.75,"shared prefix, streaming corrections"
ensemble_streaming,16,float32,cls,20,,,99.98,0.16003,0.162214,,,,,0.6322,0.75,"shared prefix, streaming corrections"
base_inference_fp16,16,float16,n/a,1,,,72.69,0.220117,0.220078,,,,,1.1228,1.2148,fp16 inference only; G/C and ridge stay float32/float64
