r_target,budget,passes,best_lambda,top1,delta_top1_pp,lcb_pp,nll,ece
0.5,strict,True,10000.0,0.9383951822916666,0.016276041666662966,-0.04069010416666667,0.20674408586771356,0.008017730704741061
0.5,primary,True,10000.0,0.9383951822916666,0.016276041666662966,-0.04069010416666667,0.20674408586771356,0.008017730704741061
0.5,relaxed,True,10000.0,0.9383951822916666,0.016276041666662966,-0.04069010416666667,0.20674408586771356,0.008017730704741061
0.75,strict,True,10000.0,0.9378662109375,-0.03662109375,-0.10986328125000004,0.20803840843036392,0.006550582429284357
0.75,primary,True,10000.0,0.9378662109375,-0.03662109375,-0.10986328125000004,0.20803840843036392,0.006550582429284357
0.75,relaxed,True,10000.0,0.9378662109375,-0.03662109375,-0.10986328125000004,0.20803840843036392,0.006550582429284357
1.0,strict,True,1000.0,0.9372965494791666,-0.09358723958333703,-0.19124348958333337,0.21002583336142902,0.005790666325959021
1.0,primary,True,1000.0,0.9372965494791666,-0.09358723958333703,-0.19124348958333337,0.21002583336142902,0.005790666325959021
1.0,relaxed,True,1000.0,0.9372965494791666,-0.09358723958333703,-0.19124348958333337,0.21002583336142902,0.005790666325959021
1.25,strict,True,1000.0,0.9372965494791666,-0.09358723958333703,-0.2034505208333334,0.21366552343557066,0.005461392888047666
1.25,primary,True,1000.0,0.9372965494791666,-0.09358723958333703,-0.2034505208333334,0.21366552343557066,0.005461392888047666
1.25,relaxed,True,1000.0,0.9372965494791666,-0.09358723958333703,-0.2034505208333334,0.21366552343557066,0.005461392888047666
1.5,strict,False,,,,,,
1.5,primary,True,1000.0,0.9360758463541666,-0.21565755208333703,-0.35400390625,0.21879061998073526,0.008629809904410915
1.5,relaxed,True,1000.0,0.9360758463541666,-0.21565755208333703,-0.35400390625,0.21879061998073526,0.008629809904410915
2.0,strict,False,,,,,,
2.0,primary,True,1000.0,0.9351806640625,-0.30517578125,-0.45979817708333337,0.23208507651814494,0.014581294334555414
2.0,relaxed,True,100.0,0.9317626953125,-0.64697265625,-0.8382161458333334,0.23230589329391851,0.008138534601355952
2.125,strict,False,,,,,,
2.125,primary,False,,,,,,
2.125,relaxed,True,100.0,0.9315185546875,-0.67138671875,-0.8707682291666666,0.23495554393219345,0.009439141194711531
2.25,strict,False,,,,,,
2.25,primary,False,,,,,,
2.25,relaxed,True,100.0,0.9309488932291666,-0.728352864583337,-0.9318033854166667,0.23748293737743417,0.00875389793403327
2.5,strict,False,,,,,,
2.5,primary,False,,,,,,
2.5,relaxed,True,1000.0,0.93359375,-0.4638671875,-0.6388346354166667,0.24527744709843446,0.018413628912041558
3.0,strict,False,,,,,,
3.0,primary,False,,,,,,
3.0,relaxed,True,1000.0,0.9316813151041666,-0.655110677083337,-0.8544921875000002,0.2545493596112032,0.018669535834464807
4.0,strict,False,,,,,,
4.0,primary,False,,,,,,
4.0,relaxed,False,,,,,,
