r_target,realized_r_median,best_lambda,corrected_top1,delta_top1_pp,lcb_95_pp,nll,ece,base_agreement,uncorrected_delta_top1_pp,pass_strict,pass_primary,pass_relaxed,pathology
0.5,0.5,10000.0,93.84,0.016,-0.041,0.2067,0.008,0.9978,0.004,True,True,True,
0.75,0.75,10000.0,93.787,-0.037,-0.11,0.208,0.0066,0.9963,-0.016,True,True,True,
1.0,1.0,1000.0,93.73,-0.094,-0.191,0.21,0.0058,0.9948,-0.008,True,True,True,
1.25,1.25,1000.0,93.73,-0.094,-0.203,0.2137,0.0055,0.9934,-0.045,True,True,True,
1.5,1.5,1000.0,93.608,-0.216,-0.354,0.2188,0.0086,0.9907,-0.09,False,True,True,
2.0,2.0,1000.0,93.518,-0.305,-0.46,0.2321,0.0146,0.9876,-0.358,False,True,True,
2.125,2.125,1000.0,93.424,-0.399,-0.562,0.2356,0.0153,0.9865,-0.464,False,False,True,
2.25,2.25,1000.0,93.408,-0.415,-0.582,0.239,0.0164,0.9859,-0.606,False,False,True,
2.5,2.5,1000.0,93.359,-0.464,-0.639,0.2453,0.0184,0.9843,-0.977,False,False,True,
3.0,3.0,1000.0,93.168,-0.655,-0.854,0.2545,0.0187,0.9812,-2.238,False,False,True,
4.0,4.0,1000.0,92.863,-0.96,-1.188,0.2617,0.0122,0.9767,-10.754,False,False,False,
