id_accuracy,id_brier,id_ece,id_nll,method,n,ood_aupr_in,ood_aupr_out,ood_auroc,ood_fpr95,seed,selected_scale,split,temperature
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_msp,1003,,,,,0,4.0,id_val,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_energy,1003,,,,,0,4.0,id_val,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_entropy,1003,,,,,0,4.0,id_val,0.8
0.9830508474576272,0.025712938979268,0.0099020734622495,0.0690741464495658,ffn_pnc,1003,,,,,0,4.0,id_val,0.8
0.9850448654037888,0.2893367707729339,0.5025137904827165,0.7696496844291687,uncorrected,1003,,,,,0,4.0,id_val,0.8
0.9850448654037888,0.0253607276827096,0.0090560073688522,0.0687146857380867,head_pnc,1003,,,,,0,4.0,id_val,0.8
0.9850448654037888,0.0253636576235294,0.0131664733706063,0.0705835074186325,mc_dropout,1003,,,,,0,4.0,id_val,0.8
0.925,0.1181347742676734,0.0316597732485501,0.3034167289733886,base_msp,3080,,,,,0,4.0,id_eval,0.8
0.925,0.1181347742676734,0.0316597732485501,0.3034167289733886,base_energy,3080,,,,,0,4.0,id_eval,0.8
0.925,0.1181347742676734,0.0316597732485501,0.3034167289733886,base_entropy,3080,,,,,0,4.0,id_eval,0.8
0.9253246753246752,0.1178847104310989,0.0302206422069242,0.3014058172702789,ffn_pnc,3080,,,,,0,4.0,id_eval,0.8
0.922077922077922,0.3572708070278168,0.4738765131174163,0.9530596137046814,uncorrected,3080,,,,,0,4.0,id_eval,0.8
0.9253246753246752,0.1182246282696724,0.0320605631482291,0.3037025332450866,head_pnc,3080,,,,,0,4.0,id_eval,0.8
0.9253246753246752,0.1130516678094863,0.0140689677788645,0.2831156253814697,mc_dropout,3080,,,,,0,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,0,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109668,0.425,0,4.0,near,0.8
,,,,base_entropy,900,0.959342921934424,0.8095399190614077,0.9027031024531024,0.4977272727272727,0,4.0,near,0.8
,,,,ffn_pnc,900,0.9612253750425503,0.8173932993857332,0.9065782828282828,0.4743506493506493,0,4.0,near,0.8
,,,,uncorrected,900,0.944307159550481,0.811338583875184,0.8846673881673881,0.7055194805194805,0,4.0,near,0.8
,,,,head_pnc,900,0.9594903718810496,0.8081030148568802,0.9020506854256852,0.4954545454545455,0,4.0,near,0.8
,,,,mc_dropout,900,0.9673558643411656,0.8325003481808454,0.9175468975468976,0.4308441558441558,0,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.1941558441558441,0,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353536,0.0818181818181818,0,4.0,cross,0.8
