method,split,metric,mean,se,n
base_energy,cross,ood_aupr_in,0.9733,0.0000,5
base_energy,cross,ood_aupr_out,0.9850,0.0000,5
base_energy,cross,ood_auroc,0.9801,0.0000,5
base_energy,cross,ood_fpr95,0.0818,0.0000,5
base_energy,far,ood_aupr_in,0.9960,0.0000,5
base_energy,far,ood_aupr_out,0.9744,0.0000,5
base_energy,far,ood_auroc,0.9897,0.0000,5
base_energy,far,ood_fpr95,0.0435,0.0000,5
base_energy,id_eval,id_accuracy,0.9250,0.0000,5
base_energy,id_eval,id_brier,0.1181,0.0000,5
base_energy,id_eval,id_ece,0.0317,0.0000,5
base_energy,id_eval,id_nll,0.3034,0.0000,5
base_energy,id_val,id_accuracy,0.9831,0.0000,5
base_energy,id_val,id_brier,0.0254,0.0000,5
base_energy,id_val,id_ece,0.0087,0.0000,5
base_energy,id_val,id_nll,0.0686,0.0000,5
base_energy,near,ood_aupr_in,0.9725,0.0000,5
base_energy,near,ood_aupr_out,0.8573,0.0000,5
base_energy,near,ood_auroc,0.9293,0.0000,5
base_energy,near,ood_fpr95,0.4250,0.0000,5
base_entropy,cross,ood_aupr_in,0.9468,0.0000,5
base_entropy,cross,ood_aupr_out,0.9741,0.0000,5
base_entropy,cross,ood_auroc,0.9644,0.0000,5
base_entropy,cross,ood_fpr95,0.1734,0.0000,5
base_entropy,far,ood_aupr_in,0.9920,0.0000,5
base_entropy,far,ood_aupr_out,0.9517,0.0000,5
base_entropy,far,ood_auroc,0.9784,0.0000,5
base_entropy,far,ood_fpr95,0.1169,0.0000,5
base_entropy,id_eval,id_accuracy,0.9250,0.0000,5
base_entropy,id_eval,id_brier,0.1181,0.0000,5
base_entropy,id_eval,id_ece,0.0317,0.0000,5
base_entropy,id_eval,id_nll,0.3034,0.0000,5
base_entropy,id_val,id_accuracy,0.9831,0.0000,5
base_entropy,id_val,id_brier,0.0254,0.0000,5
base_entropy,id_val,id_ece,0.0087,0.0000,5
base_entropy,id_val,id_nll,0.0686,0.0000,5
base_entropy,near,ood_aupr_in,0.9593,0.0000,5
base_entropy,near,ood_aupr_out,0.8095,0.0000,5
base_entropy,near,ood_auroc,0.9027,0.0000,5
base_entropy,near,ood_fpr95,0.4977,0.0000,5
base_msp,cross,ood_aupr_in,0.9358,0.0000,5
base_msp,cross,ood_aupr_out,0.9630,0.0000,5
base_msp,cross,ood_auroc,0.9536,0.0000,5
base_msp,cross,ood_fpr95,0.1942,0.0000,5
base_msp,far,ood_aupr_in,0.9888,0.0000,5
base_msp,far,ood_aupr_out,0.9217,0.0000,5
base_msp,far,ood_auroc,0.9683,0.0000,5
base_msp,far,ood_fpr95,0.1399,0.0000,5
base_msp,id_eval,id_accuracy,0.9250,0.0000,5
base_msp,id_eval,id_brier,0.1181,0.0000,5
base_msp,id_eval,id_ece,0.0317,0.0000,5
base_msp,id_eval,id_nll,0.3034,0.0000,5
base_msp,id_val,id_accuracy,0.9831,0.0000,5
base_msp,id_val,id_brier,0.0254,0.0000,5
base_msp,id_val,id_ece,0.0087,0.0000,5
base_msp,id_val,id_nll,0.0686,0.0000,5
base_msp,near,ood_aupr_in,0.9554,0.0000,5
base_msp,near,ood_aupr_out,0.7695,0.0000,5
base_msp,near,ood_auroc,0.8918,0.0000,5
base_msp,near,ood_fpr95,0.5110,0.0000,5
ffn_pnc,cross,ood_aupr_in,0.9508,0.0000,5
ffn_pnc,cross,ood_aupr_out,0.9765,0.0000,5
ffn_pnc,cross,ood_auroc,0.9675,0.0000,5
ffn_pnc,cross,ood_fpr95,0.1638,0.0004,5
