method,cold_warmup_s,warm_total_s,ms_per_sample,n_forward_passes,batch_size,latency_ms
methods.Deep Ensemble n=5,3.728064775466919,6.689891338348389,,5,,
methods.Epinet n=50,4.95340371131897,8.085586547851562,,50,,
methods.LLLA n=50,6.001918792724609,38.39842081069946,,50,,
methods.Mahalanobis,3.298046827316284,3.674267053604126,,1,,
methods.MC Dropout n=32,4.97181510925293,25.88395094871521,,32,,
methods.PnC multi-block scale=7,35.76520252227783,48.44033622741699,,50,,
methods.PnC single-block scale=25,5.736196041107178,37.092955350875854,,50,,
methods.ReAct+Energy,0.39186930656433105,3.069406747817993,,1,,
methods.PreAct ResNet-18 / MSP / Energy,3.607205390930176,3.083054780960083,,1,,
methods.SWAG n=50,59.417330741882324,36.62664794921875,,50,,
