env,seed,steps,method,base_train_s,build_s,construction_total_s,device,latency_batch10000_median_ms,latency_batch1000_median_ms,latency_batch1_median_ms,minimal_ckpt_mb,n_trained_nets,storage_mb,storage_params
Ant-v5,0,5000,pnc,16.605422835000354,1.7473864239982504,18.352809258998604,NVIDIA TITAN X (Pascal),200.63814350032771,195.6735480016505,196.44597350088588,0.758,1,29.342,7335610
Ant-v5,0,5000,swag,41.64565021300223,0.0,41.64565021300223,NVIDIA TITAN X (Pascal),665.3502379995189,649.9377324998932,621.6407764986798,,1,2.227,556830
Ant-v5,0,5000,laplace,13.921431691996986,0.8476940689979529,14.769125760994939,NVIDIA TITAN X (Pascal),1755.9244830026728,1717.7875755005516,1743.189173999781,,1,3.927,981841
Ant-v5,0,5000,mc_dropout,22.424070599001425,0.0,22.424070599001425,NVIDIA TITAN X (Pascal),710.5068049986585,708.4073119985987,688.6610345009103,,1,0.742,185618
Ant-v5,0,5000,single_base,21.34685642000113,0.0,21.34685642000113,NVIDIA TITAN X (Pascal),3.887898999892059,3.562529998816899,3.53121450098115,,1,0.742,185610
Ant-v5,0,5000,deep_ensemble,1131.9364989720016,0.0,1131.9364989720016,NVIDIA TITAN X (Pascal),150.9417304987437,164.4123704991216,153.31724349925935,,50,37.122,9280500
HalfCheetah-v5,0,5000,pnc,25.470064295001066,1.5166074490007304,26.986671744001796,NVIDIA TITAN X (Pascal),196.14990999980364,188.02993249846622,189.55647899929318,0.545,1,25.529,6382234
HalfCheetah-v5,0,5000,swag,61.89653158400324,0.0,61.89653158400324,NVIDIA TITAN X (Pascal),579.9573209988012,559.0131280005153,567.9086340005597,,1,1.587,396702
HalfCheetah-v5,0,5000,laplace,25.770328998998593,0.8208776120009134,26.591206610999507,NVIDIA TITAN X (Pascal),1689.25688049967,1666.8041755001468,1651.7414589998225,,1,3.442,860415
HalfCheetah-v5,0,5000,mc_dropout,29.87215058500078,0.0,29.87215058500078,NVIDIA TITAN X (Pascal),722.9120779993536,696.8794775002607,680.8063389999006,,1,0.529,132242
HalfCheetah-v5,0,5000,single_base,25.903011708000122,0.0,25.903011708000122,NVIDIA TITAN X (Pascal),3.7664254996343516,3.6140569991403027,3.539231500326423,,1,0.529,132234
HalfCheetah-v5,0,5000,deep_ensemble,1321.8538402630002,0.0,1321.8538402630002,NVIDIA TITAN X (Pascal),158.62869250122458,161.80428299958294,146.13119500245375,,50,26.447,6611700
Hopper-v5,0,5000,pnc,25.60328501099866,1.733234552997601,27.336519563996262,NVIDIA TITAN X (Pascal),197.22002700109442,190.56725500013272,194.9678724995465,0.528,1,25.152,6288022
Hopper-v5,0,5000,swag,60.27140414899986,0.0,60.27140414899986,NVIDIA TITAN X (Pascal),566.7495159996179,561.6627175004396,562.1422450003593,,1,1.536,384066
Hopper-v5,0,5000,laplace,25.219635427998583,0.8417314020007325,26.061366829999315,NVIDIA TITAN X (Pascal),1987.2841720007273,1655.7989104985609,1666.8417695000244,,1,3.419,854808
Hopper-v5,0,5000,mc_dropout,29.313733078997757,0.0,29.313733078997757,NVIDIA TITAN X (Pascal),694.9376044995006,636.6921304997959,680.6160315027228,,1,0.512,128030
Hopper-v5,0,5000,single_base,25.22448648900172,0.0,25.22448648900172,NVIDIA TITAN X (Pascal),3.7005674985266523,3.590296500988188,3.496296500088647,,1,0.512,128022
Hopper-v5,0,5000,deep_ensemble,1279.332205329003,0.0,1279.332205329003,NVIDIA TITAN X (Pascal),157.6263694987574,146.1330665006244,139.15154750065994,,50,25.604,6401100
