,,near_auroc,near_auroc,near_auroc,mid_auroc,mid_auroc,mid_auroc,far_auroc,far_auroc,far_auroc,id_rmse,id_rmse,id_rmse,far_nll,far_nll,far_nll,far_spearman,far_spearman,far_spearman
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
environment,layer_scope,,,,,,,,,,,,,,,,,,
Ant-v5,first,0.8627499204545455,0.022885213297757615,11,0.9137947413636364,0.01693308247824335,11,0.9978216377777778,0.0010727170640851614,27,0.6162286952689842,0.06190394337334847,27,1.0996488277558927,0.31833430188794215,27,0.8713631848416642,0.06609559190194884,27
Ant-v5,multi,0.8667889849999999,0.02042645376317253,11,0.9165129022727272,0.014242535942370191,11,0.9978463020370371,0.0010918076933270817,27,0.6303842067718506,0.06099524853628301,27,1.1105868021647136,0.16669903194270355,27,0.8482334680696765,0.04835186202465535,27
HalfCheetah-v5,first,0.8105511425,0.03201554201238877,8,0.98001182625,0.008159640982422856,8,0.9839102894444444,0.01911638424291493,27,1.3017342002303511,0.12659277466386537,27,4.072315834186695,2.1957702069523704,27,0.1259994906401759,0.048910386059343246,27
HalfCheetah-v5,multi,0.8623111975,0.020086593240649295,8,0.9821896625,0.005261757688854657,8,0.9872366683333333,0.015826389171484243,27,1.3398027817408245,0.14274029080614412,27,2.186953315028438,0.2997843581118629,27,0.28186701249774776,0.09953091213629842,27
Hopper-v5,first,0.8192063456249999,0.02660182904090264,8,0.8698242875000001,0.026078793039719276,8,0.9300961644444444,0.016393006868999006,27,0.17314892400194093,0.011804437839385628,27,0.6834378982031787,0.23729956577812797,27,0.6375035388991935,0.06666683213334129,27
Hopper-v5,multi,0.8960489,0.016537101259893106,8,0.947368600625,0.013660059939012906,8,0.9806847922222223,0.009501359363119934,27,0.18357799560935406,0.011205033561180931,27,0.3539498812622494,0.11670666547998956,27,0.6390582712292177,0.07883557052802138,27
Humanoid-v5,first,0.565221059,0.02397126841204786,5,0.497003985,0.10035310558315212,5,0.3263485288888888,0.07714758522066076,27,60.12602459942853,18.01769876258119,27,4.084860139422947,0.5746327257644824,27,0.7696096017485291,0.06321216452200282,27
Humanoid-v5,multi,0.570486814,0.022575120379946884,5,0.5248407159999999,0.0873364327937243,5,0.3443490824074074,0.07584892853661944,27,60.123224046495224,18.031925358696096,27,4.010165046762537,0.5599875531245465,27,0.756825451954022,0.05711358820170927,27
HumanoidStandup-v5,first,,,0,,,0,0.8763879685185185,0.07334640557765892,27,41.28379963062428,23.932853287459643,27,6.7678079781708895,1.1459263067757246,27,0.7486335148752141,0.0976073165976196,27
HumanoidStandup-v5,multi,,,0,,,0,0.9276984707407407,0.04487036574216795,27,41.32409872832122,23.940323052641197,27,5.865887995119448,0.45574763208115576,27,0.7170697647327373,0.09198228005655129,27
InvertedDoublePendulum-v5,first,,,0,,,0,0.9955686486538462,0.00140082815825038,26,0.04383968902178677,0.030009827538033884,26,1.5334784090518951,0.5282262096630296,26,0.93267071782822,0.054561834384484864,26
InvertedDoublePendulum-v5,multi,,,0,,,0,0.9957522492307693,0.0013404446020844818,26,0.04266555879551626,0.026846507150112057,26,1.4183602333068848,0.5624334767046177,26,0.9338810579870972,0.06617537823862817,26
InvertedPendulum-v5,first,,,0,,,0,0.8559009948076923,0.15461814801733423,26,0.015782785351173174,0.009751246860802705,26,3.6550507499621463,3.0394326864778436,26,0.43605001094204443,0.3610260858092023,26
InvertedPendulum-v5,multi,,,0,,,0,0.9186127555769231,0.11393720073154028,26,0.015547427169692015,0.009017262101763046,26,-0.7121493957506922,0.5714128536710305,26,0.72573337910235,0.20084439000276444,26
Pusher-v5,first,,,0,,,0,0.9999884873076923,3.1030113445881174e-05,26,0.05477708449157381,0.009130086557422212,26,0.9062707126140594,0.14595210332568032,26,0.879315253700491,0.029060652620426855,26
Pusher-v5,multi,,,0,,,0,0.9999968969230769,7.369829180738938e-06,26,0.054730357888799396,0.00907862437066804,26,0.7112529140252334,0.12159126345310554,26,0.8618079807495025,0.024203683814550635,26
Reacher-v5,first,,,0,,,0,0.9938714786538461,0.0011680301571941908,26,0.08697893327245342,0.010243832728596951,26,0.1697252000180574,0.09405727754968446,26,0.790055216947277,0.039043994802011345,26
Reacher-v5,multi,,,0,,,0,0.9932317342307692,0.0011893799043137838,26,0.08917244294515017,0.009830391246810585,26,0.09348944975779604,0.034208665647367874,26,0.8758561766018444,0.022807361803167305,26
Swimmer-v5,first,,,0,,,0,0.9951799620370371,0.003558378820645145,27,0.06771346160935027,0.10468378583281918,27,1.3106340788028858,0.9047730749700588,27,0.6738688787418099,0.16006541882237232,27
Swimmer-v5,multi,,,0,,,0,0.995208498888889,0.0038224768846945095,27,0.06351186983563278,0.04843611883973958,27,1.450780612451059,0.6870491738606918,27,0.7310512229953162,0.1263757467539473,27
Walker2d-v5,first,,,0,,,0,0.9905621461111112,0.003813171437684344,27,0.6013045487580476,0.031239679960461734,27,5.729498933862756,1.0512535596787231,27,0.3567570351899143,0.05222474337242789,27
Walker2d-v5,multi,,,0,,,0,0.9977864733333334,0.0013185853403341898,27,0.6138927053522181,0.030264437847919465,27,2.390735723354198,0.23916313420083773,27,0.3533004039871244,0.04007221968299874,27
