environment,block_scope,near_auroc,mid_auroc,far_auroc
Ant-v5,multi block,0.8667889849999999,0.9165129022727272,0.9978463020370371
Ant-v5,single block,0.8627499204545455,0.9137947413636364,0.9978216377777778
HalfCheetah-v5,multi block,0.8623111975,0.9821896625,0.9872366683333333
HalfCheetah-v5,single block,0.8105511425,0.98001182625,0.9839102894444444
Hopper-v5,multi block,0.8960489,0.947368600625,0.9806847922222223
Hopper-v5,single block,0.8192063456249999,0.8698242875000001,0.9300961644444444
Humanoid-v5,multi block,0.570486814,0.5248407159999999,0.3443490824074074
Humanoid-v5,single block,0.565221059,0.497003985,0.3263485288888888
HumanoidStandup-v5,multi block,,,0.9276984707407407
HumanoidStandup-v5,single block,,,0.8763879685185185
InvertedDoublePendulum-v5,multi block,,,0.9957522492307693
InvertedDoublePendulum-v5,single block,,,0.9955686486538462
InvertedPendulum-v5,multi block,,,0.9186127555769231
InvertedPendulum-v5,single block,,,0.8559009948076923
Pusher-v5,multi block,,,0.9999968969230769
Pusher-v5,single block,,,0.9999884873076923
Reacher-v5,multi block,,,0.9932317342307692
Reacher-v5,single block,,,0.9938714786538461
Swimmer-v5,multi block,,,0.995208498888889
Swimmer-v5,single block,,,0.9951799620370371
Walker2d-v5,multi block,,,0.9977864733333334
Walker2d-v5,single block,,,0.9905621461111112
