env,seed,direction,regime,alpha,rel_lin_err_median,rel_by_actual_median,cosine_median,spearman_normlin_normact,remainder_median,norm_actual_median,norm_linear_median,cd_reldiff_eps1e-3,cd_reldiff_eps1e-2
Ant-v5,0,0,id,0.05,0.17122961580753326,0.16538265347480774,0.9864675402641296,0.989993249831246,0.001313595799729228,0.00794776901602745,0.007674382999539375,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,0.1,0.13112924993038177,0.13075685501098633,0.9919403791427612,0.9914857871446788,0.002284431830048561,0.015218473970890045,0.01534876599907875,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,0.25,0.23397120833396912,0.2355245053768158,0.9749875068664551,0.9722463061576541,0.01055803894996643,0.03675229102373123,0.03837191313505173,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,0.5,0.4520469307899475,0.4509703516960144,0.9058133959770203,0.9460901522538064,0.038342393934726715,0.07148168981075287,0.07674382627010345,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,1.0,0.7076117992401123,0.7864530682563782,0.744901180267334,0.8965064126603167,0.11276093125343323,0.13496974110603333,0.1534876525402069,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,2.0,0.9418653249740601,1.2255733013153076,0.46930181980133057,0.8338198454961376,0.2932019829750061,0.23319122195243835,0.3069753050804138,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,5.0,1.0430493354797363,2.1764426231384277,0.15645423531532288,0.7639990999774995,0.8212827444076538,0.368891179561615,0.7674382925033569,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,10.0,1.026737928390503,3.902681827545166,0.03964680805802345,0.727734193354834,1.6232151985168457,0.42393752932548523,1.5348765850067139,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,20.0,1.0096417665481567,6.531761646270752,0.00526494299992919,0.6669916747918699,3.1363720893859863,0.4990881681442261,3.0697531700134277,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,id,50.0,1.0010967254638672,16.573566436767578,0.0136951869353652,0.615465386634666,7.831793785095215,0.5030347108840942,7.67438268661499,0.03279038518667221,0.03279038518667221
Ant-v5,0,0,near,0.05,0.36122748255729675,0.3503599762916565,0.9376294016838074,0.938876471911798,0.005375102162361145,0.0180240236222744,0.016289586201310158,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,0.1,0.2315959632396698,0.23015417158603668,0.9735713005065918,0.9653386334658368,0.007484196685254574,0.03438025340437889,0.032579172402620316,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,0.25,0.2891032099723816,0.2930808663368225,0.9591872692108154,0.9769879246981177,0.022535616531968117,0.08253534138202667,0.08144792914390564,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,0.5,0.46024471521377563,0.45647990703582764,0.8992475271224976,0.9760624015600392,0.06821037083864212,0.16272690892219543,0.16289585828781128,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,1.0,0.6718780994415283,0.7069982886314392,0.7726616859436035,0.964155103877597,0.21186316013336182,0.3194400370121002,0.32579171657562256,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,2.0,0.9414029121398926,1.0823882818222046,0.5118832588195801,0.919066976674417,0.6043810844421387,0.5637469291687012,0.6515834331512451,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,5.0,1.068649411201477,1.8603930473327637,0.17078010737895966,0.77025575639391,1.7237679958343506,0.9706155061721802,1.6289585828781128,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,10.0,1.0555949211120605,2.897515296936035,0.05922872573137283,0.7147603690092252,3.448639392852783,1.2719340324401855,3.2579171657562256,0.03129668906331062,0.03129668906331062
Ant-v5,0,0,near,20.0,1.0248703956604004,4.784775733947754,0.015272727236151695,0.6138888472211805,6.6931047439575195,1.453728199005127,6.515834331512451,0.03129668906331062,0.03129668906331062
