rule,factor,sharp,flat,worse,quoted_sharp,quoted_flat,quoted_worse,l1_distance
R1,scale,15,16,13,0,38,6,44
R1,rank,4,27,13,0,44,0,34
R1,bootstrap,15,17,12,4,31,9,28
R1,ridge,22,13,9,0,43,1,60
R2,scale,0,16,28,0,38,6,44
R2,rank,0,27,17,0,44,0,34
R2,bootstrap,0,17,27,4,31,9,36
R2,ridge,0,13,31,0,43,1,60
R3,scale,0,11,33,0,38,6,54
R3,rank,0,26,18,0,44,0,36
R3,bootstrap,0,10,34,4,31,9,50
R3,ridge,0,11,33,0,43,1,64
R4,scale,9,19,16,0,38,6,38
R4,rank,1,38,5,0,44,0,12
R4,bootstrap,13,20,11,4,31,9,22
R4,ridge,17,18,9,0,43,1,50
R5,scale,13,17,14,0,38,6,42
R5,rank,4,30,10,0,44,0,28
R5,bootstrap,14,17,13,4,31,9,28
R5,ridge,21,12,11,0,43,1,62
R6,scale,15,24,5,0,38,6,30
R6,rank,4,35,5,0,44,0,18
R6,bootstrap,13,18,13,4,31,9,26
R6,ridge,22,16,6,0,43,1,54
