environment,factor,factor_value,id_rmse,far_nll,far_auroc,far_spearman
Ant-v5,bootstrap,0.0,0.5893944810937952,1.0646040274037256,0.9967174533333333,0.7942470470786718
Ant-v5,bootstrap,0.05,0.6420240269766914,1.0347339378462896,0.9973428092592592,0.8384056048098647
Ant-v5,bootstrap,0.075,0.6338691910107931,1.0983228352334764,0.9976463425925928,0.8339461637117795
Ant-v5,bootstrap,0.1,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,bootstrap,0.15,0.6182719535297818,1.1132442553838093,0.9981052214814815,0.8397340111476064
Ant-v5,bootstrap,0.2,0.6138689716657003,1.1296009200590629,0.998337617037037,0.8445933797681072
Ant-v5,bootstrap,0.3,0.6079630498532895,1.1461444784093786,0.9985130231481484,0.8697715632488376
Ant-v5,bootstrap,0.5,0.6030297367661087,1.1958353298681754,0.9985377727777777,0.8779378608396159
Ant-v5,bootstrap,0.99,0.5998749490137454,1.2099957112912778,0.9984303637037037,0.8695945283729707
Ant-v5,calib,1024,0.6101689669820998,2.1483115752538047,0.9862838174074076,0.4634012048561677
Ant-v5,calib,2048,0.6465347983219005,1.0408295657899644,0.9971579627777779,0.8400392875620264
Ant-v5,calib,4096,0.6303702548698142,1.110601286093394,0.997846402037037,0.8481608458716432
Ant-v5,calib,512,0.59119654584814,5.952058271125511,0.8176475142592592,0.1954346818317248
Ant-v5,calib,8192,0.6137879115563852,1.117791442959397,0.9979140177777778,0.8441614150758281
Ant-v5,layer,first,0.6162286952689842,1.0996488277558927,0.9978216377777778,0.8713631848416644
Ant-v5,layer,multi,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,rank,1,0.6370493063220272,1.122657318909963,0.9975259683333333,0.854843212398018
Ant-v5,rank,10,0.6309189686068782,1.1231348293798942,0.997869577037037,0.8363123365098224
Ant-v5,rank,15,0.6292314374888385,1.126411203984861,0.9979264231481482,0.8459737429945773
Ant-v5,rank,2,0.634588725037045,1.117112108954677,0.9977962133333333,0.8545766465930724
Ant-v5,rank,20,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,rank,30,0.6274329247298064,1.1227014440077323,0.9979149785185184,0.8452213193888092
Ant-v5,rank,40,0.6233533885743883,1.1126852256280404,0.9979030414814815,0.8446693124136228
Ant-v5,rank,5,0.6258221489411814,1.1085371772448223,0.9978036044444444,0.8351937715958669
Ant-v5,ridge,0.0,1.044565408318131,2.5172929101520114,0.9976495477777776,0.8936761991367015
Ant-v5,ridge,0.0001,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,ridge,0.0003,0.6054697963926527,1.0163961317804124,0.9977366631481481,0.7566796530706132
Ant-v5,ridge,0.001,0.5937550310735349,1.6787373843016449,0.9972190270370369,0.5675311031135879
Ant-v5,ridge,0.003,0.5890569664813854,3.23122814628813,0.994294225925926,0.3931714398222987
Ant-v5,ridge,0.01,0.5862631223819874,5.28835975240778,0.9755902600000002,0.269810537584067
Ant-v5,ridge,0.1,0.5836320364916766,7.660009691008815,0.8466601835185186,0.17575504589483726
Ant-v5,ridge,1.0,0.5829855159476951,8.192367332952994,0.7556026057407407,0.1635247848129542
Ant-v5,ridge,1e-05,0.8079726982999731,1.9810487694210477,0.9978795105555556,0.888631122400629
Ant-v5,scale,0.25x,0.5947965758818167,1.3142116091869496,0.99741667,0.6267132517697114
Ant-v5,scale,0.5x,0.6072452267011007,0.9881198913962753,0.9979293766666666,0.8132051847049229
Ant-v5,scale,0.75x,0.618644999133216,1.0547277706640739,0.9979760931481481,0.8354922101309818
Ant-v5,scale,1.0x,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,scale,1.5x,0.6395135301130789,1.1879058281580608,0.9976574116666667,0.8441450210628844
Ant-v5,scale,2.0x,0.6424770443527786,1.240412994667336,0.9976271768518518,0.8292467901640906
Ant-v5,scale,4.0x,0.646161143426542,1.4693922555005108,0.9974731427777777,0.8327917078023779
HalfCheetah-v5,bootstrap,0.0,1.3210855854882135,3.258523808585273,0.9869853896296297,0.11223138533646099
HalfCheetah-v5,bootstrap,0.05,92.24609035915799,7.3837877732736095,0.9806794668518519,0.9371308010651964
HalfCheetah-v5,bootstrap,0.075,2.5569125458046242,3.8778806615758827,0.9868810640740742,0.8950830199962818
HalfCheetah-v5,bootstrap,0.1,1.7378289390493322,3.22012781213831,0.9869944694444444,0.8068561807919615
HalfCheetah-v5,bootstrap,0.15,1.4222041456787675,2.543863618815387,0.9874284351851853,0.5816930794125915
HalfCheetah-v5,bootstrap,0.2,1.3685736788643732,2.279188209109836,0.9868458005555555,0.4132682828129162
HalfCheetah-v5,bootstrap,0.3,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,bootstrap,0.5,1.3304944965574477,2.3277404882289745,0.9872190474074074,0.18708945718603404
HalfCheetah-v5,bootstrap,0.99,1.3226564327875774,2.710257331530253,0.9872551664814815,0.13631368964706864
HalfCheetah-v5,calib,1024,3.279284680331195,4.116988906153926,0.9871383855555556,0.8905482242596879
HalfCheetah-v5,calib,2048,1.4607412064516987,2.6850261908990367,0.9876366549999999,0.6453284569458326
HalfCheetah-v5,calib,4096,1.3397948962670785,2.1869791172168873,0.9872386253703703,0.28191305380570825
HalfCheetah-v5,calib,512,23440.355039243346,10.93334088502107,0.9498439401851853,0.9698860845221545
HalfCheetah-v5,calib,8192,1.3246625794304743,2.5192537086981313,0.9870630512962963,0.15368405528681703
HalfCheetah-v5,layer,first,1.3017342002303511,4.072315834186695,0.9839102894444445,0.12599949064017593
HalfCheetah-v5,layer,multi,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,rank,1,1.3801389623571325,2.3020041827802307,0.9855876396296297,0.3144605445141436
HalfCheetah-v5,rank,10,1.337998668352763,2.1931102717364275,0.987032757037037,0.27273143294614033
HalfCheetah-v5,rank,15,1.3376315611380118,2.156710240576002,0.9870977037037036,0.26362685314503465
HalfCheetah-v5,rank,2,1.3474076986312866,2.188084986474779,0.986237146111111,0.2691353163743893
HalfCheetah-v5,rank,20,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,rank,30,1.339447436509309,2.2044200941368386,0.9866155046296294,0.2780078512614108
HalfCheetah-v5,rank,40,1.3407331749244973,2.184483563458478,0.9867485866666666,0.281293007250879
HalfCheetah-v5,rank,5,1.3389000627729628,2.1798250366140297,0.9871014359259258,0.2690841189655011
HalfCheetah-v5,ridge,0.0,1.3279094166225858,2.267310138101931,0.9872309194444445,0.13928987259428405
HalfCheetah-v5,ridge,0.0001,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,ridge,0.0003,1.3347841368781195,2.139285025773225,0.9875638009259261,0.22302398091099984
HalfCheetah-v5,ridge,0.001,1.3312854457784582,2.1221027595025523,0.9877279394444444,0.17889089077586426
HalfCheetah-v5,ridge,0.003,1.329324099752638,2.1575088721734508,0.9876439503703703,0.15494152928780008
HalfCheetah-v5,ridge,0.01,1.3278638168617531,2.2616801880024098,0.9873886112962964,0.13791052448834387
HalfCheetah-v5,ridge,0.1,1.3257201291896679,2.6149542287543968,0.9866160031481482,0.12183253007952398
HalfCheetah-v5,ridge,1.0,1.3248608465547915,3.0492525939588195,0.9850472788888888,0.11751574391852729
HalfCheetah-v5,ridge,1e-05,1.3582511566303395,2.2981208430396185,0.9865552016666668,0.40012715090854484
HalfCheetah-v5,scale,0.25x,1.3046637376149495,2.280658898530183,0.984678796851852,0.17391624193677743
HalfCheetah-v5,scale,0.5x,1.3218553949285436,2.1218750211927624,0.9866190301851852,0.2291979903280675
HalfCheetah-v5,scale,0.75x,1.3327167961332533,2.1382849746280246,0.9870196901851851,0.2686970379128336
HalfCheetah-v5,scale,1.0x,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,scale,1.5x,1.34964742925432,2.252373280348601,0.986481352962963,0.2870278181013511
HalfCheetah-v5,scale,2.0x,1.3483094992461029,2.2482149556831077,0.986732728148148,0.2859586265374017
HalfCheetah-v5,scale,4.0x,1.3659839895036485,2.4187091015003346,0.9865554211111113,0.33046347448642316
Hopper-v5,bootstrap,0.0,0.18193451839464683,0.3215442429538126,0.9734842424074074,0.6090511708638234
Hopper-v5,bootstrap,0.05,9.18622703022427,4.980316638946533,0.9429858188888889,0.9303298373559505
Hopper-v5,bootstrap,0.075,0.2018231920622013,0.8486270286418773,0.9818684035185185,0.7876669535500599
Hopper-v5,bootstrap,0.1,0.1918178896109263,0.6363798357822277,0.982654885185185,0.7266652182430801
Hopper-v5,bootstrap,0.15,0.18703687301388494,0.4541433497711464,0.9840290735185184,0.6528916563664257
Hopper-v5,bootstrap,0.2,0.1851078669230143,0.4006008075343238,0.9816730127777776,0.6400287469518453
Hopper-v5,bootstrap,0.3,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,bootstrap,0.5,0.18275645264872797,0.3266298737790849,0.9791268049999999,0.6028319053161397
Hopper-v5,bootstrap,0.99,0.18226263865276618,0.33093194718714114,0.9757479107407407,0.6043501540708254
Hopper-v5,calib,1024,0.2104657115759673,0.9610282050238715,0.9818450253703703,0.8183474295804777
Hopper-v5,calib,2048,0.1881859826820868,0.5043158310431021,0.9846941105555556,0.6743523490464871
Hopper-v5,calib,4096,0.18357850004125525,0.3539127039688605,0.9806825442592593,0.6390599053469669
Hopper-v5,calib,512,69.93823531821921,6.147903671971074,0.8939603325925926,0.9468271673899606
Hopper-v5,calib,8192,0.18208977580070496,0.32562249512584124,0.9775744596296297,0.6119849397379072
Hopper-v5,layer,first,0.17314892400194098,0.6834378982031787,0.9300961644444444,0.6375035388991935
Hopper-v5,layer,multi,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,rank,1,0.1938520774797157,0.7184245751963722,0.9704812935185184,0.5873038090537999
Hopper-v5,rank,10,0.18385071942099818,0.36727548031895246,0.9826050961111109,0.6285883751012598
Hopper-v5,rank,15,0.18373163320400096,0.35668475760353935,0.9812475216666665,0.6345460673437187
Hopper-v5,rank,2,0.18613894007824086,0.4366851509721191,0.9804733731481482,0.6217184070903153
Hopper-v5,rank,20,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,rank,30,0.18339831906336326,0.36973819467756486,0.9829407381481481,0.6306350107663133
Hopper-v5,rank,40,0.18364303752228064,0.3647152014352657,0.9830352109259259,0.6361312505897798
Hopper-v5,rank,5,0.18393886806788268,0.38164751452428325,0.9825220192592593,0.6186220513303536
Hopper-v5,ridge,0.0,0.18342133252709,0.30671231145108185,0.9750558809259259,0.6322019272952365
Hopper-v5,ridge,0.0001,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,ridge,0.0003,0.18346115008548455,0.3228434903754128,0.9792186353703701,0.6389560386997866
Hopper-v5,ridge,0.001,0.18340770845059995,0.30358663808416436,0.9770637111111111,0.6395900091305492
Hopper-v5,ridge,0.003,0.18340396881103516,0.3017254758764196,0.9747564537037037,0.6411580841313325
Hopper-v5,ridge,0.01,0.18343786233001286,0.311244302601726,0.9720100859259261,0.6391929867721649
Hopper-v5,ridge,0.1,0.18367517491181692,0.34488334837887025,0.9647475057407408,0.6360547385057169
Hopper-v5,ridge,1.0,0.1849555461495011,0.37663997185451015,0.9539916794444444,0.6399600449657183
Hopper-v5,ridge,1e-05,0.18415784559868,0.4363807439804077,0.9819772264814814,0.6467405004995777
Hopper-v5,scale,0.25x,0.17326709628105164,0.5379187177728724,0.9510126301851852,0.5782608670520225
Hopper-v5,scale,0.5x,0.17843103243245018,0.35886257224612766,0.9737054275925926,0.6207755625013169
Hopper-v5,scale,0.75x,0.18169180496975226,0.3769686271746953,0.9798396401851851,0.6239911715258464
Hopper-v5,scale,1.0x,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,scale,1.5x,0.18528465761078727,0.3519000234427275,0.9811702501851853,0.6257361400681519
Hopper-v5,scale,2.0x,0.1860058754682541,0.3964466270473268,0.9805939390740742,0.66170468608676
Hopper-v5,scale,4.0x,0.18641698084495686,0.39933694236808354,0.9805710762962961,0.6266531367532556
Humanoid-v5,bootstrap,0.0,60.1192828990795,4.096916861004299,0.32593287870370374,0.7664501907602369
Humanoid-v5,bootstrap,0.05,230.64879749439382,6.8300590691743075,0.7597679914814817,0.9556133277633866
Humanoid-v5,bootstrap,0.075,60.19753364280418,3.7667616738213434,0.45110428166666666,0.7286955696322293
Humanoid-v5,bootstrap,0.1,60.16091904816804,3.845741943076805,0.4013513009259259,0.7382436770720389
Humanoid-v5,bootstrap,0.15,60.13417802033601,3.929039540114226,0.3651673437037037,0.755400710462193
Humanoid-v5,bootstrap,0.2,60.12778190330223,3.9680390534577548,0.3554180701851852,0.7571665683418116
Humanoid-v5,bootstrap,0.3,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,bootstrap,0.5,60.122035556369354,4.04462472597758,0.3369890579629629,0.7622946259895573
Humanoid-v5,bootstrap,0.99,60.120167626274956,4.071302493413289,0.3313136196296296,0.7638504561443321
Humanoid-v5,calib,1024,60.225553300645615,3.7327401549727828,0.5044470303703703,0.7042062738642613
Humanoid-v5,calib,2048,60.13563028971354,3.9126515211882413,0.370461597037037,0.7539330222427059
Humanoid-v5,calib,4096,60.12322899147316,4.010160587452076,0.34433933796296295,0.7568424436494277
Humanoid-v5,calib,512,109726.66644965278,13.01411575741238,0.7195255955555555,0.987349561354281
Humanoid-v5,calib,8192,60.11854736893265,4.06223906411065,0.33247490333333335,0.763934437899618
Humanoid-v5,layer,first,60.12602459942853,4.084860139422947,0.32634852888888893,0.7696096017485293
Humanoid-v5,layer,multi,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,rank,1,60.126859735559535,4.0958688788943824,0.33267471518518515,0.7643934849586055
Humanoid-v5,rank,10,60.123541514078774,4.01234472239459,0.3439740955555556,0.7604345384115822
Humanoid-v5,rank,15,60.12373719391999,4.011066825301559,0.3440716457407408,0.7619431668684811
Humanoid-v5,rank,2,60.12390617088035,4.033692642494485,0.3412935912962962,0.7624627001218243
Humanoid-v5,rank,20,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,rank,30,60.123423117178454,4.010332663853963,0.3444699133333334,0.7606743611962815
