environment,seed,factor,factor_value,factor_value_numeric,anchor_value,relative_to_anchor,status,error_message,git_commit,ridge_center,scale,subspace_dimension_K,ensemble_size_M,bootstrap_fraction,calibration_size,calibration_pool_size,per_member_calibration_size,unique_calibration_rows,feature_dimension_p,nominal_n_over_p,unique_n_over_p,layer_scope,direction_family,id_rmse,id_nll,id_total_variance,id_residual,near_rmse,near_nll,near_auroc,mid_rmse,mid_nll,mid_auroc,far_rmse,far_nll,far_auroc,far_spearman,construction_time_sec,gram_rank,gram_min_eig,gram_condition,normalized_ridge,mean_delta_w_norm,notes
Ant-v5,0,scale,0.25x,2.0,8.0,0.25,ok,,70fb480,zero,2.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5875032544136047,-2.2758162021636963,0.4713216722011566,0.02670849004024384,0.8246775269508362,0.3910491168498993,0.83642343,0.9262621998786926,0.7550896406173706,0.879977725,1.8858344554901123,1.3316302299499512,0.99808149,0.608176635906889,1.7607567310333252,191,6.420864442300399e-29,83849708.0389791,1.515111538821306e-06,2.001128673553467,
Ant-v5,0,scale,0.5x,4.0,8.0,0.5,ok,,70fb480,zero,4.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.5933386087417603,-2.275843620300293,0.6494733691215515,0.06953819080495498,0.8402186036109924,0.28986144065856934,0.86296285,1.0033414363861084,0.5868719816207886,0.89776485,2.6713056564331055,0.9463208913803101,0.9980335800000002,0.8439454179865178,0.5476100444793701,195,4.77595781563717e-29,97174963.39081852,1.1824786702877441e-06,4.002257347106934,
Ant-v5,0,scale,1.0x,8.0,8.0,1.0,ok,,70fb480,zero,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6060355305671692,-2.2123353481292725,1.0008518695831299,0.031904561341827675,0.8773607015609741,0.3100222051143646,0.8668258499999999,1.09101402759552,0.6205084323883057,0.9017334350000001,3.028184175491333,1.1433402299880981,0.99766426,0.8420367098669976,0.5551848411560059,200,1.4116447054705586e-28,240060239.54751968,4.2125347326339627e-07,8.004514694213867,
Ant-v5,0,scale,2.0x,16.0,8.0,2.0,ok,,70fb480,zero,16.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.66231769323349,-2.196735143661499,1.3433011770248413,0.029842430278080836,1.07624089717865,0.5317667722702026,0.84741841,1.4092148542404175,0.736846387386322,0.894840415,4.1662116050720215,1.3777295351028442,0.99775076,0.7408765827992111,0.5497729778289795,201,0.12175854019345075,1230613.4772195162,7.057294280480168e-08,16.009029388427734,
Ant-v5,0,scale,4.0x,32.0,8.0,4.0,ok,,70fb480,zero,32.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6810823082923889,-2.1814346313476562,2.0310537815093994,0.03443128413115284,1.17060387134552,0.6128371357917786,0.85290739,1.6100001335144043,0.7740761041641235,0.9220791549999999,5.1527419090271,1.7594130039215088,0.99779086,0.7393016045461056,0.5218291282653809,201,2.94617974066128,319223.4090717346,1.1478492687025866e-08,32.01805877685547,
Ant-v5,0,scale,0.75x,6.0,8.0,0.75,ok,,70fb480,zero,6.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6010394096374512,-2.237748622894287,0.7760697603225708,0.045302962669808294,0.8689239621162415,0.14906291663646698,0.87708426,1.0549815893173218,0.4237808585166931,0.911053795,2.774296522140503,1.1124074459075928,0.9982402599999999,0.8495943223866871,0.5190017223358154,199,8.581346848610325e-29,139895883.48822173,7.373536289104765e-07,6.003385066986084,
Ant-v5,0,scale,1.5x,12.0,8.0,1.5,ok,,70fb480,zero,12.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6340544819831848,-2.199251890182495,1.007987141609192,0.028251991900516474,1.054176688194275,0.42563506960868835,0.8594101950000002,1.2832057476043701,0.7129886746406555,0.897602325,3.882275342941284,1.3401752710342407,0.99857194,0.6301365096367075,0.5409409999847412,201,0.004945911679630592,13467140.210757688,1.5325823123826875e-07,12.006770133972168,
Ant-v5,0,rank,1,1,20,0.05,ok,,70fb480,zero,8.0,1,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6024712920188904,-2.2252471446990967,0.7171050310134888,0.07251278568155387,0.822672963142395,0.49000105261802673,0.833125345,0.9893938899040222,0.6920464038848877,0.8756599049999999,2.519808530807495,1.1200697422027588,0.99752959,0.836288139846408,0.49198222160339355,199,8.038250150897002e-29,166487805.01650825,4.918895312540725e-07,8.0,
Ant-v5,0,rank,2,2,20,0.1,ok,,70fb480,zero,8.0,2,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6090670824050903,-2.23774790763855,1.117781162261963,0.06235888044748385,0.8800099492073059,0.39098894596099854,0.8588075499999999,1.086714506149292,0.6135619282722473,0.90391456,2.9968903064727783,1.150793433189392,0.9977537000000001,0.8297394974108626,0.5036094188690186,199,8.875508804178452e-29,157612035.78841603,5.195857784072188e-07,7.9966535568237305,
Ant-v5,0,rank,5,5,20,0.25,ok,,70fb480,zero,8.0,5,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6153599619865417,-2.2260563373565674,0.7756077647209167,0.0335952143414323,0.9263390302658081,0.3118279278278351,0.8620220399999999,1.1705290079116821,0.4615832269191742,0.9148788849999999,3.111272096633911,1.1688580513000488,0.9986414900000001,0.7837707009974635,0.49342870712280273,198,1.1189781137757455e-28,274281023.9680182,3.9261755339934347e-07,7.991852283477783,
