factor,environment,factor_value_numeric,per_member_rows,unique_rows,p,nominal_n_over_p,unique_n_over_p,id_rmse,far_nll,far_auroc
bootfull,Ant-v5,0.02,200.0,198.0,201.0,0.9950248756218906,0.9850746268656716,0.6413962421593843,1.0458850352852433,0.9972278311111111
bootfull,HalfCheetah-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,13710.058995173527,11.502943442418026,0.9332107851923077
bootfull,Hopper-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,54.0444136766287,6.127759291575505,0.8718345053846155
bootfull,Humanoid-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,2384549.9982722355,14.01900236423199,0.6788142048076923
bootfull,HumanoidStandup-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,54450.17857299805,11.45111005783081,0.9426333616
bootfull,InvertedDoublePendulum-v5,0.05,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.12279690466821189,2.6816032552719116,0.9959664084000001
bootfull,InvertedPendulum-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.015870153401046947,-0.7307960338890552,0.9107791534
bootfull,Pusher-v5,0.02,200.0,198.0,201.0,0.9950248756218906,0.9850746268656717,0.05868481904268261,1.0118806385993957,0.9999998964
bootfull,Reacher-v5,0.02,200.0,198.0,201.0,0.9950248756218906,0.9850746268656717,0.08951969087123865,0.0902633003890514,0.9932829028000001
bootfull,Swimmer-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.08396973185241219,1.0876486897468567,0.987878721
bootfull,Walker2d-v5,0.01,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.6788388633728027,1.8448248958587647,0.980743264
bootstrap,Ant-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,0.6420240269766914,1.0347339378462896,0.9973428092592592
bootstrap,HalfCheetah-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,92.24609035915799,7.3837877732736095,0.9806794668518519
bootstrap,Hopper-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,9.18622703022427,4.980316638946533,0.9429858188888889
bootstrap,Humanoid-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,230.64879749439382,6.8300590691743075,0.7597679914814814
bootstrap,HumanoidStandup-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,84.02932400173611,6.284792723479094,0.9770032396296296
bootstrap,InvertedDoublePendulum-v5,0.15,614.0,570.0,201.0,3.054726368159204,2.8358208955223883,0.1168210675510076,2.786947319140801,0.9963123126923078
bootstrap,InvertedPendulum-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437811,0.015547427169692015,-0.7121493957506922,0.9186127555769231
bootstrap,Pusher-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437811,0.05852494775675805,1.0181151238771586,0.9999998926923077
bootstrap,Reacher-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437811,0.08917244294515017,0.09348944975779604,0.9932317342307692
bootstrap,Swimmer-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,0.06351186983563278,1.450780612451059,0.995208498888889
bootstrap,Walker2d-v5,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,0.6739483674367269,1.759052316347758,0.9930700001851852
