sweep,value,is_default,env,seed,family,k,M,subset,lambda_reg,bootstrap_frac,layer_scope,perturbation_size,size_selected_by_valnll,rmse_val,nll_val,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far,train_time,eval_time
scale,0.25x(=1.25),False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,1.25,False,1.6507971286773682,0.19211457669734955,1.5507608652114868,0.13867025077342987,6.2403998374938965,2.714968681335449,1.7985217571258545,0.6912433099999999,0.841828225,0.9773411299999999,10.434566974639893,0.20145034790039062
scale,0.5x(=2.5),False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,2.5,False,1.650143027305603,0.1829076111316681,1.5511839389801025,0.13223311305046082,4.367115020751953,2.474860191345215,1.6866110563278198,0.70770849,0.879898065,0.9830917450000001,10.434566974639893,0.2053992748260498
scale,1.0x(=5.0),True,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6492201089859009,0.17946062982082367,1.5528628826141357,0.1308887004852295,3.435732126235962,2.2250633239746094,1.6341232061386108,0.732459795,0.9269826800000001,0.9889599549999999,10.434566974639893,0.22054505348205566
scale,2.0x(=10.0),False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,10.0,False,1.654248833656311,0.1854884922504425,1.5576739311218262,0.13617420196533203,2.6197001934051514,2.0332136154174805,1.6260327100753784,0.7605538700000001,0.960591975,0.9914661799999999,10.434566974639893,0.20850872993469238
scale,4.0x(=20.0),False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,20.0,False,1.6626532077789307,0.19084008038043976,1.5645116567611694,0.14447282254695892,2.089505434036255,1.93266761302948,1.6265980005264282,0.787394735,0.97172228,0.9931620200000001,10.434566974639893,0.20064473152160645
rank,1,False,HalfCheetah-v5,0,random,1,50,10000,0.0,0.1,multi,5.0,True,1.653854489326477,0.18972674012184143,1.5547822713851929,0.14068134129047394,3.593609571456909,2.3133950233459473,1.6545885801315308,0.72538209,0.911357955,0.9880365799999998,10.271915435791016,0.2161579132080078
rank,2,False,HalfCheetah-v5,0,random,2,50,10000,0.0,0.1,multi,5.0,True,1.6535104513168335,0.18359191715717316,1.5532069206237793,0.13450144231319427,3.2182397842407227,2.255948305130005,1.635603666305542,0.728879375,0.9218502550000001,0.98781027,12.81126356124878,0.21088480949401855
rank,5,False,HalfCheetah-v5,0,random,5,50,10000,0.0,0.1,multi,5.0,True,1.653030514717102,0.18069975078105927,1.553873896598816,0.13220323622226715,3.111537456512451,2.252425193786621,1.6342942714691162,0.731873575,0.92348204,0.98830697,10.606594800949097,0.2219069004058838
rank,20,True,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6492201089859009,0.17946062982082367,1.5528628826141357,0.1308887004852295,3.435732126235962,2.2250633239746094,1.6341232061386108,0.732459795,0.9269826800000001,0.9889599549999999,12.155849933624268,0.3981611728668213
rank,40,False,HalfCheetah-v5,0,random,40,50,10000,0.0,0.1,multi,5.0,True,1.6497154235839844,0.17878618836402893,1.554056167602539,0.1318238228559494,3.055750846862793,2.229069471359253,1.6320867538452148,0.73294858,0.92466038,0.9884192549999999,11.655822992324829,0.20342659950256348
