factor,environment,metric,anchor_value,factor_value,n_paired_seeds,mean_diff,ci95_lo,ci95_hi,materially_worse
scale,Ant-v5,id_rmse,8.0,2.0,27,-0.03558763089003386,-0.04738637700812503,-0.023788884771942694,False
scale,Ant-v5,id_rmse,8.0,4.0,27,-0.02313898007074992,-0.03274042473245712,-0.013537535409042718,False
scale,Ant-v5,id_rmse,8.0,6.0,27,-0.011739207638634576,-0.020141009802732673,-0.003337405474536476,False
scale,Ant-v5,id_rmse,8.0,12.0,27,0.009129323341228344,0.0029660844589097825,0.015292562223546906,False
scale,Ant-v5,id_rmse,8.0,16.0,27,0.012092837580928096,0.0022890162220551864,0.021896658939801007,False
scale,Ant-v5,id_rmse,8.0,32.0,27,0.015776936654691345,-0.0007606874517902297,0.03231456076117292,False
scale,Ant-v5,far_nll,8.0,2.0,27,0.203624807022236,0.0038382810569023706,0.40341133298756965,True
scale,Ant-v5,far_nll,8.0,4.0,27,-0.12246691076843827,-0.16968129825926534,-0.0752525232776112,False
scale,Ant-v5,far_nll,8.0,6.0,27,-0.05585903150063971,-0.07908268250504324,-0.032635380496236176,False
scale,Ant-v5,far_nll,8.0,12.0,27,0.07731902599334717,0.053202782756545025,0.10143526923014931,False
scale,Ant-v5,far_nll,8.0,16.0,27,0.12982619250262226,0.09194877702906329,0.16770360797618122,True
scale,Ant-v5,far_nll,8.0,32.0,27,0.35880545333579733,0.29354871535135474,0.4240621913202399,True
scale,Ant-v5,far_auroc,8.0,2.0,27,-0.0004296320370370491,-0.0007060390022932924,-0.0001532250717808058,False
scale,Ant-v5,far_auroc,8.0,4.0,27,8.307462962965897e-05,-0.0001073422572636077,0.0002734915165229256,False
scale,Ant-v5,far_auroc,8.0,6.0,27,0.00012979111111114752,-1.5145748883019038e-05,0.0002747279711053141,False
scale,Ant-v5,far_auroc,8.0,12.0,27,-0.000188890370370357,-0.00037046063443771176,-7.32010630300224e-06,False
scale,Ant-v5,far_auroc,8.0,16.0,27,-0.00021912518518516253,-0.00041858031746228356,-1.9670052908041534e-05,False
scale,Ant-v5,far_auroc,8.0,32.0,27,-0.00037315925925924317,-0.0006573469810635952,-8.897153745489111e-05,False
scale,Ant-v5,far_spearman,8.0,2.0,27,-0.22152021629996513,-0.27005522604459975,-0.1729852065553305,True
scale,Ant-v5,far_spearman,8.0,4.0,27,-0.03502828336475335,-0.057128551117291954,-0.012928015612214749,True
scale,Ant-v5,far_spearman,8.0,6.0,27,-0.01274125793869457,-0.033631921868224585,0.008149405990835442,False
scale,Ant-v5,far_spearman,8.0,12.0,27,-0.004088447006792204,-0.028866374850713663,0.020689480837129254,False
scale,Ant-v5,far_spearman,8.0,16.0,27,-0.018986677905585697,-0.04361617970380749,0.005642823892636099,False
scale,Ant-v5,far_spearman,8.0,32.0,27,-0.01544176026729844,-0.04138578895213195,0.010502268417535071,False
scale,HalfCheetah-v5,id_rmse,32.0,8.0,27,-0.03513904412587482,-0.03935837159841121,-0.030919716653338425,False
scale,HalfCheetah-v5,id_rmse,32.0,16.0,27,-0.017947386812280735,-0.022156641289009432,-0.013738132335552038,False
scale,HalfCheetah-v5,id_rmse,32.0,24.0,27,-0.007085985607571072,-0.011189444416155924,-0.00298252679898622,False
scale,HalfCheetah-v5,id_rmse,32.0,48.0,27,0.009844647513495584,-0.007085288885746565,0.026774583912737734,False
scale,HalfCheetah-v5,id_rmse,32.0,64.0,27,0.008506717505278403,0.002108893412469213,0.014904541598087594,False
scale,HalfCheetah-v5,id_rmse,32.0,128.0,27,0.026181207762824163,-0.008015206817946513,0.06037762234359484,False
scale,HalfCheetah-v5,far_nll,32.0,8.0,27,0.09370558350174515,-0.0521929541434622,0.2396041211469525,False
scale,HalfCheetah-v5,far_nll,32.0,16.0,27,-0.06507829383567532,-0.12160076788088017,-0.008555819790470452,False
scale,HalfCheetah-v5,far_nll,32.0,24.0,27,-0.0486683404004132,-0.10841397618172288,0.011077295380896489,False
scale,HalfCheetah-v5,far_nll,32.0,48.0,27,0.06541996532016328,-0.006422807854766954,0.13726273849509352,False
scale,HalfCheetah-v5,far_nll,32.0,64.0,27,0.06126164065466985,0.0030535912010211524,0.11946969010831855,False
scale,HalfCheetah-v5,far_nll,32.0,128.0,27,0.23175578647189662,0.11216569521177865,0.3513458777320146,True
scale,HalfCheetah-v5,far_auroc,32.0,8.0,27,-0.0025578714814814838,-0.004012348870352272,-0.0011033940926106953,False
scale,HalfCheetah-v5,far_auroc,32.0,16.0,27,-0.0006176381481481302,-0.0016870560557848062,0.00045177975948854576,False
scale,HalfCheetah-v5,far_auroc,32.0,24.0,27,-0.00021697814814812687,-0.0011739303676315314,0.0007399740713352777,False
scale,HalfCheetah-v5,far_auroc,32.0,48.0,27,-0.0007553153703703489,-0.0016907141436042846,0.00018008340286358683,False
scale,HalfCheetah-v5,far_auroc,32.0,64.0,27,-0.0005039401851851645,-0.0011817693578251767,0.00017388898745484768,False
scale,HalfCheetah-v5,far_auroc,32.0,128.0,27,-0.0006812472222221975,-0.0014740642999688219,0.00011156985552442686,False
scale,HalfCheetah-v5,far_spearman,32.0,8.0,27,-0.10795077056097038,-0.1519360042871215,-0.06396553683481926,True
scale,HalfCheetah-v5,far_spearman,32.0,16.0,27,-0.05266902216968027,-0.09929441816698129,-0.00604362617237926,True
scale,HalfCheetah-v5,far_spearman,32.0,24.0,27,-0.013169974584914161,-0.05200426830638742,0.025664319136559102,False
scale,HalfCheetah-v5,far_spearman,32.0,48.0,27,0.005160805603603274,-0.03951384927193072,0.04983546047913727,False
scale,HalfCheetah-v5,far_spearman,32.0,64.0,27,0.004091614039653824,-0.028560261849319507,0.03674348992862715,False
scale,HalfCheetah-v5,far_spearman,32.0,128.0,27,0.04859646198867545,-0.011406837347834708,0.1085997613251856,False
scale,Hopper-v5,id_rmse,32.0,8.0,27,-0.01031089932830245,-0.011009741216646706,-0.009612057439958193,False
scale,Hopper-v5,id_rmse,32.0,16.0,27,-0.0051469631769039135,-0.005464816248892984,-0.004829110104914843,False
scale,Hopper-v5,id_rmse,32.0,24.0,27,-0.0018861906396018186,-0.002101750512813074,-0.0016706307663905634,False
scale,Hopper-v5,id_rmse,32.0,48.0,27,0.0017066620014331857,0.0013998969785964394,0.002013427024269932,False
scale,Hopper-v5,id_rmse,32.0,64.0,27,0.0024278798588999923,0.00204887793188064,0.0028068817859193446,False
scale,Hopper-v5,id_rmse,32.0,128.0,27,0.002838985235602765,0.0023756386881664264,0.003302331783039104,False
scale,Hopper-v5,far_nll,32.0,8.0,27,0.18396883651062293,0.12543842974178504,0.24249924327946082,True
scale,Hopper-v5,far_nll,32.0,16.0,27,0.00491269098387823,-0.034661594517341646,0.04448697648509811,False
scale,Hopper-v5,far_nll,32.0,24.0,27,0.023018745912445918,-0.026161605581756606,0.07219909740664844,False
scale,Hopper-v5,far_nll,32.0,48.0,27,-0.002049857819521871,-0.037416138520760665,0.03331642288171693,False
scale,Hopper-v5,far_nll,32.0,64.0,27,0.042496745785077415,-0.008035243932748369,0.09302873550290319,False
scale,Hopper-v5,far_nll,32.0,128.0,27,0.04538706110583411,-0.0005155956785836135,0.09128971789025184,False
scale,Hopper-v5,far_auroc,32.0,8.0,27,-0.029672162037037035,-0.03409517679320777,-0.0252491472808663,True
scale,Hopper-v5,far_auroc,32.0,16.0,27,-0.006979364629629637,-0.009043523193520232,-0.00491520606573904,False
scale,Hopper-v5,far_auroc,32.0,24.0,27,-0.0008451520370370475,-0.0025553754810871054,0.0008650714070130106,False
scale,Hopper-v5,far_auroc,32.0,48.0,27,0.0004854579629629417,-0.0011597786935059755,0.002130694619431859,False
scale,Hopper-v5,far_auroc,32.0,64.0,27,-9.085314814813759e-05,-0.0016071290612235745,0.0014254227649272994,False
scale,Hopper-v5,far_auroc,32.0,128.0,27,-0.00011371592592591807,-0.00213297929463114,0.001905547442779304,False
scale,Hopper-v5,far_spearman,32.0,8.0,27,-0.060797404177195175,-0.10125982901262687,-0.02033497934176348,True
scale,Hopper-v5,far_spearman,32.0,16.0,27,-0.018282708727900648,-0.05267848099185948,0.016113063536058184,False
scale,Hopper-v5,far_spearman,32.0,24.0,27,-0.015067099703371285,-0.0455726314575935,0.01543843205085093,False
scale,Hopper-v5,far_spearman,32.0,48.0,27,-0.013322131161065662,-0.043160735247296994,0.016516472925165667,False
scale,Hopper-v5,far_spearman,32.0,64.0,27,0.0226464148575424,-0.022519904613295675,0.06781273432838048,False
scale,Hopper-v5,far_spearman,32.0,128.0,27,-0.012405134475961995,-0.05215490449323198,0.027344635541307984,False
scale,Humanoid-v5,id_rmse,32.0,8.0,27,-0.002808182327835648,-0.008904175468245014,0.0032878108125737183,False
scale,Humanoid-v5,id_rmse,32.0,16.0,27,-0.002058523672599169,-0.005757552603818199,0.0016405052586198608,False
scale,Humanoid-v5,id_rmse,32.0,24.0,27,-0.0011565596969047246,-0.0031048441432259127,0.0007917247494164635,False
scale,Humanoid-v5,id_rmse,32.0,48.0,27,0.00030842533818050316,-0.002435754044481313,0.00305260472084232,False
scale,Humanoid-v5,id_rmse,32.0,64.0,27,0.001597086588542193,-0.0017723869998083472,0.004966560176892733,False
scale,Humanoid-v5,id_rmse,32.0,128.0,27,0.01035012139214436,-0.0026176977596724556,0.023317940543961177,False
scale,Humanoid-v5,far_nll,32.0,8.0,27,0.1401568518744574,0.11438268517212793,0.16593101857678685,True
scale,Humanoid-v5,far_nll,32.0,16.0,27,0.04566051341869203,0.036774228813582444,0.05454679802380162,False
scale,Humanoid-v5,far_nll,32.0,24.0,27,0.016287432776556976,0.011372001613088724,0.021202863940025227,False
scale,Humanoid-v5,far_nll,32.0,48.0,27,-0.01413512229919445,-0.020392611874592365,-0.007877632723796536,False
scale,Humanoid-v5,far_nll,32.0,64.0,27,-0.021218962139553543,-0.028984302558930208,-0.013453621720176879,False
scale,Humanoid-v5,far_nll,32.0,128.0,27,-0.030898235462330073,-0.04712935420636184,-0.014667116718298304,False
scale,Humanoid-v5,far_auroc,32.0,8.0,27,-0.02622803148148147,-0.0290694683742351,-0.023386594588727844,True
scale,Humanoid-v5,far_auroc,32.0,16.0,27,-0.010363281111111107,-0.013798315139995717,-0.006928247082226497,False
scale,Humanoid-v5,far_auroc,32.0,24.0,27,-0.004478612037037034,-0.007077672615243757,-0.0018795514588303111,False
scale,Humanoid-v5,far_auroc,32.0,48.0,27,0.004799245185185191,0.001890784118063735,0.007707706252306646,False
scale,Humanoid-v5,far_auroc,32.0,64.0,27,0.010210275370370383,0.006320613997442739,0.014099936743298028,False
scale,Humanoid-v5,far_auroc,32.0,128.0,27,0.02096475166666667,0.01309803244159984,0.028831470891733497,False
scale,Humanoid-v5,far_spearman,32.0,8.0,27,0.01412249649139939,0.004039015682805937,0.024205977299992843,False
scale,Humanoid-v5,far_spearman,32.0,16.0,27,0.008681187493351963,-0.0021644889841335013,0.01952686397083743,False
scale,Humanoid-v5,far_spearman,32.0,24.0,27,0.007609379617401498,-0.0026249596276607225,0.01784371886246372,False
scale,Humanoid-v5,far_spearman,32.0,48.0,27,-0.000315122541776898,-0.010543174398222494,0.009912929314668696,False
scale,Humanoid-v5,far_spearman,32.0,64.0,27,-0.010297233216907264,-0.02222607200953497,0.001631605575720443,False
scale,Humanoid-v5,far_spearman,32.0,128.0,27,-0.029773074267241236,-0.05210610939415119,-0.007440039140331284,True
scale,HumanoidStandup-v5,id_rmse,8.0,2.0,27,-0.42328135172526055,-0.6107580156189371,-0.235804687831584,False
scale,HumanoidStandup-v5,id_rmse,8.0,4.0,27,-0.2763476901584204,-0.41262493461975364,-0.1400704456970872,False
scale,HumanoidStandup-v5,id_rmse,8.0,6.0,27,-0.11228836907280881,-0.19173349503413314,-0.03284324311148448,False
scale,HumanoidStandup-v5,id_rmse,8.0,12.0,27,0.21048432809335255,0.05970660136191966,0.36126205482478546,False
scale,HumanoidStandup-v5,id_rmse,8.0,16.0,27,0.7687185781973381,0.10279442755597712,1.4346427288386991,False
scale,HumanoidStandup-v5,id_rmse,8.0,32.0,27,0.5067657894558385,0.1717432349279744,0.8417883439837026,False
scale,HumanoidStandup-v5,far_nll,8.0,2.0,27,2.5570191983823425,1.9458616120872043,3.1681767846774807,True
scale,HumanoidStandup-v5,far_nll,8.0,4.0,27,0.9717599374276621,0.7133822410809196,1.2301376337744045,True
scale,HumanoidStandup-v5,far_nll,8.0,6.0,27,0.308016335522687,0.21271815264385313,0.4033145184015208,True
scale,HumanoidStandup-v5,far_nll,8.0,12.0,27,-0.23647824040165652,-0.3185983582539353,-0.15435812254937775,False
scale,HumanoidStandup-v5,far_nll,8.0,16.0,27,-0.30896856166698317,-0.41076857337278405,-0.2071685499611823,False
scale,HumanoidStandup-v5,far_nll,8.0,32.0,27,-0.40377154173674407,-0.5402952749554661,-0.267247808518022,False
scale,HumanoidStandup-v5,far_auroc,8.0,2.0,27,-0.1599589996296296,-0.18358037384296777,-0.1363376254162914,True
scale,HumanoidStandup-v5,far_auroc,8.0,4.0,27,-0.06967998296296295,-0.08324685170618253,-0.056113114219743375,True
scale,HumanoidStandup-v5,far_auroc,8.0,6.0,27,-0.023075247037037047,-0.029393762269468625,-0.01675673180460547,True
scale,HumanoidStandup-v5,far_auroc,8.0,12.0,27,0.022330579259259253,0.015355344491649704,0.029305814026868802,False
