environment,seed,id_rmse,id_nll_gaussian,id_mean_uncertainty,near_auroc,mid_auroc,far_auroc,far_spearman,near_nll_gaussian,mid_nll_gaussian,far_nll_gaussian,far_mean_uncertainty,near_mean_uncertainty,selected_num_eigs,selected_Meps,selected_Meps_factor,selected_alpha,num_train_examples,num_samples,sketch_seed,used_ood_for_selection,selection_metric,score_subsampled,git_tag,source_file,far_over_id_score_ratio
Ant-v5,0,0.5276903510093689,-1.624932885169983,407003.86151691386,0.22048804,0.15865108,0.03139136999999999,0.15610352585184512,1.117925763130188,2.2748219966888428,45.41408920288086,115757.34177768999,288822.6186367098,10,4096.0,1.0,0.0,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Ant-v5/0/_metrics.json,0.28441337471899997
Ant-v5,10,0.5775900483131409,-2.495582342147827,625282.5247995091,0.480077295,0.39685546,0.012770759999999996,0.13227782159955603,8.39877700805664,12.422990798950195,14.405135154724121,93045.6190530773,631865.8348623189,10,4096.0,1.0,0.0,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Ant-v5/10/_metrics.json,0.14880572439300377
Ant-v5,200,0.9449019432067871,-0.6991750001907349,23300.78362607221,0.36576237,0.30773601,0.28633621,0.15172769802618735,-0.290286123752594,-0.1621556133031845,2.9663782119750977,24851.47827254749,21594.241335641946,10,4096.0,1.0,0.1,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Ant-v5/200/_metrics.json,1.0665511800530239
HalfCheetah-v5,0,1.1589524745941162,-0.3633873164653778,24364.982402126898,0.5726358300000001,0.20448722,0.21634810999999998,0.2021767199697672,341.92919921875,2.7734692096710205,4.552879333496094,18192.02345942545,36276.14534829652,100,4096.0,1.0,0.0003,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/HalfCheetah-v5/0/_metrics.json,0.7466462794505203
HalfCheetah-v5,10,1.499327301979065,22.649965286254883,22315.554607454804,0.60028272,0.28654427,0.33118143999999994,0.14804079697640796,108.89800262451172,4.076852798461914,30.492572784423828,24613.038796296198,27492.01903775444,100,4096.0,1.0,0.001,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/HalfCheetah-v5/10/_metrics.json,1.1029543844755663
HalfCheetah-v5,200,1.2073365449905396,-0.3335649371147156,24210.498205466356,0.67897536,0.38392599000000005,0.32605185,0.16085872268555237,442.32928466796875,6.254913330078125,4.1662750244140625,23839.580897204574,163331.1630532073,100,4096.0,1.0,0.0003,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/HalfCheetah-v5/200/_metrics.json,0.9846794846965176
Hopper-v5,0,0.15460273623466492,-1.8016854524612427,60673.094985468306,0.13359862,0.30977886999999993,0.03496712,-0.07355617805178245,3.5104379653930664,31.47153091430664,7.133530616760254,23134.73748132365,42335.1467519209,10,4096.0,1.0,0.0,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Hopper-v5/0/_metrics.json,0.38130142342111617
Hopper-v5,10,0.1596130132675171,-1.5177448987960815,59864.674325630425,0.11116089999999999,0.07743096,0.0249595,-0.0827515245237635,2.98490309715271,9.023348808288574,3.3678596019744873,18262.149879137607,39465.371608594905,10,4096.0,1.0,0.0,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Hopper-v5/10/_metrics.json,0.30505719917228147
Hopper-v5,200,0.1867108941078186,23.49001121520996,66043.28773101691,0.14987019000000001,0.18911510999999998,0.02301088,-0.11825371771853718,18.08897590637207,23.80498504638672,18.36863899230957,18128.44004703147,44744.40395840848,10,4096.0,1.0,0.0,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Hopper-v5/200/_metrics.json,0.27449330083119916
Humanoid-v5,0,46.860897064208984,3.5679433345794678,222512.65455958922,0.48988177777777786,0.39236444444444446,0.27393433333333334,0.6716961692995743,3.6237292289733887,3.6101908683776855,11965.6240234375,555879.7655492832,210097.038987074,50,4096.0,1.0,0.3,4096,604,100000,False,ID validation NLL,True,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Humanoid-v5/0/_metrics.json,2.498193941596332
Humanoid-v5,10,51.945220947265625,4.331073760986328,131940.9727073621,0.5634629999999999,0.4696798888888889,0.2837451111111111,0.7620510188945575,4.354388236999512,4.16255521774292,3.738619565963745,104131.12105913274,135102.83255341186,10,4096.0,1.0,0.3,4096,604,100010,False,ID validation NLL,True,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Humanoid-v5/10/_metrics.json,0.7892250521003048
Humanoid-v5,200,216.963623046875,11.573089599609375,187637.1880277827,0.5341464444444444,0.6066695555555556,0.24230366666666667,0.8478739168748796,10.468626022338867,10.749117851257324,8.966626167297363,226005.32615421715,180343.1794496073,20,4096.0,1.0,100.0,4096,604,100200,False,ID validation NLL,True,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Humanoid-v5/200/_metrics.json,1.2044804578970425
HumanoidStandup-v5,0,31.23528480529785,4.26141357421875,83150.05950660114,,,0.6931846666666667,0.6241043871227097,,,30549.5390625,810268.9812439544,,100,4096.0,1.0,1.0,4096,604,100000,False,ID validation NLL,True,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/HumanoidStandup-v5/0/_metrics.json,9.744659066415082
HumanoidStandup-v5,10,22.55694580078125,4.298482894897461,923950.8866137505,,,0.6793796666666667,0.4696546899616321,,,110.04084014892578,3855109.5787029103,,100,4096.0,1.0,0.3,4096,604,100010,False,ID validation NLL,True,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/HumanoidStandup-v5/10/_metrics.json,4.172418290361471
HumanoidStandup-v5,200,21.937772750854492,3.183715343475342,103012.95061121034,,,0.6087676666666666,0.43573408219267573,,,98.16175842285156,1785045.148594269,,100,4096.0,1.0,0.3,4096,604,100200,False,ID validation NLL,True,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/HumanoidStandup-v5/200/_metrics.json,17.328356658099764
InvertedDoublePendulum-v5,0,0.014069370925426483,-3.3930652141571045,27190.391331478,,,0.81418461,0.7740302404609465,,,181859.1875,957659.3630649804,,10,4096.0,1.0,0.0,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/InvertedDoublePendulum-v5/0/_metrics.json,35.2205068102977
InvertedDoublePendulum-v5,10,0.016092780977487564,-2.7531187534332275,8241.835937632217,,,0.99525803,0.9000114156142143,,,39602.90625,938052.3503219952,,100,4096.0,1.0,0.0001,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/InvertedDoublePendulum-v5/10/_metrics.json,113.81594555150618
InvertedDoublePendulum-v5,200,0.0640803799033165,-1.1644326448440552,4091.609834417809,,,0.9792886900000001,0.728142599649426,,,22467.546875,260161.4264504199,,10,4096.0,1.0,0.0,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/InvertedDoublePendulum-v5/200/_metrics.json,63.58412384826962
InvertedPendulum-v5,0,0.0981505736708641,-1.4199864864349365,2254.7755052198618,,,0.7586874499999999,0.12656585227765854,,,7.57762336730957,15367.592697581156,,10,4096.0,1.0,0.0003,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/InvertedPendulum-v5/0/_metrics.json,6.815575502751734
InvertedPendulum-v5,10,0.01430175919085741,-2.8251166343688965,9634.520839067805,,,0.7687598600000001,0.7370140969063521,,,13.023632049560547,146876.45819898162,,10,4096.0,1.0,0.0003,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/InvertedPendulum-v5/10/_metrics.json,15.244811927065461
InvertedPendulum-v5,200,0.034144528210163116,-2.080219030380249,4406.795468957979,,,0.83448232,0.9117214798052148,,,176.05166625976562,19019.624724723886,,10,4096.0,1.0,0.0,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/InvertedPendulum-v5/200/_metrics.json,4.315976282244209
Pusher-v5,0,0.04445256292819977,-3.0451717376708984,121443.86556215686,,,0.98786054,0.6167904803999047,,,11724.2255859375,820228.0055276749,,10,4096.0,1.0,0.0,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Pusher-v5/0/_metrics.json,6.753968195354169
Pusher-v5,10,0.05775860697031021,-2.0775880813598633,20063.299329640322,,,0.99973585,0.7036360875548046,,,565.9771118164062,758457.6510327137,,100,4096.0,1.0,0.001,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Pusher-v5/10/_metrics.json,37.803236574964195
Pusher-v5,200,0.04666811600327492,-2.6812925338745117,49615.46000917186,,,0.99624223,0.6853406858254629,,,541.0789184570312,639235.0040937257,,50,4096.0,1.0,0.0001,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Pusher-v5/200/_metrics.json,12.883786706312053
Reacher-v5,0,0.09902716428041458,-2.480656147003174,53391.070077782184,,,0.8410322699999999,0.6324332456643325,,,23.289030075073242,434788.88159878406,,10,4096.0,1.0,0.0003,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Reacher-v5/0/_metrics.json,8.143475696691727
Reacher-v5,10,0.10709293186664581,-2.685946226119995,41669.57649360838,,,0.9501560899999999,0.7373917720963421,,,39.6076545715332,386637.1836633501,,50,4096.0,1.0,0.0001,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Reacher-v5/10/_metrics.json,9.278644425931608
Reacher-v5,200,0.07205702364444733,-2.6484062671661377,79256.85901181109,,,0.89952493,0.5981863514416581,,,5903.6005859375,709649.132706683,,10,4096.0,1.0,0.0,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Reacher-v5/200/_metrics.json,8.953788246906543
Swimmer-v5,0,0.036017972975969315,-1.9399452209472656,39135.357150907854,,,0.27755641,0.2745696172656962,,,31.604480743408203,49824.97361763751,,20,4096.0,1.0,0.0003,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Swimmer-v5/0/_metrics.json,1.27314472755442
Swimmer-v5,10,0.026920374482870102,-2.3581955432891846,49731.30417027991,,,0.13997418,0.2412485912644859,,,91.5992202758789,27528.450081569226,,10,4096.0,1.0,0.0,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Swimmer-v5/10/_metrics.json,0.5535436993027943
Swimmer-v5,200,0.03835316747426987,-1.927198052406311,14746.74252229889,,,0.44017765,0.441421922654192,,,14.552833557128906,17574.439807285242,,50,4096.0,1.0,0.0003,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Swimmer-v5/200/_metrics.json,1.1917506378585323
Walker2d-v5,0,0.5346835255622864,-1.0331690311431885,37966.335277743885,,,0.42653528999999996,0.21600235749261562,,,40.65425491333008,41879.74956135677,,100,4096.0,1.0,0.0003,4096,604,100000,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Walker2d-v5/0/_metrics.json,1.1030759027697614
Walker2d-v5,10,0.5278981924057007,-1.101686716079712,35557.619925724845,,,0.26953543,0.146975416152636,,,15.464764595031738,28541.57637678478,,100,4096.0,1.0,0.0001,4096,604,100010,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Walker2d-v5/10/_metrics.json,0.8026852313626263
Walker2d-v5,200,0.57073974609375,-0.9079245328903198,31808.65649640902,,,0.45217994999999994,0.22812606825999818,,,48.65624237060547,36079.92398503063,,100,4096.0,1.0,0.0001,4096,604,100200,False,ID validation NLL,False,70fb480-posthoc,results/posthoc_mujoco/scod/predictions/Walker2d-v5/200/_metrics.json,1.1342800344020756
