quantity,recomputed,rebuttal_quoted,abs_diff,matches_at_quoted_precision
mean Far AUROC P&C (27 seeds),0.9196707909723784,0.922,0.0023292090276216815,False
mean Far AUROC P&C (seed-matched 0/10/200),0.9195347343722943,0.922,0.0024652656277057705,False
mean Far AUROC SCOD (3 seeds),0.5121061857912458,0.512,0.00010618579124577199,True
Ant-v5 P&C Far AUROC,0.997931364920635,0.998,6.863507936505364e-05,True
Ant-v5 SCOD Far AUROC,0.11016611333333332,0.11,0.0001661133333333148,True
Hopper-v5 P&C Far AUROC,0.9800736061702128,0.981,0.0009263938297872087,True
Hopper-v5 SCOD Far AUROC,0.02764583333333333,0.028,0.0003541666666666693,True
Humanoid-v5 P&C Far AUROC,0.3426987065159574,0.344,0.001301293484042565,False
Humanoid-v5 SCOD Far AUROC,0.26666103703703703,0.267,0.00033896296296298534,True
Pusher-v5 P&C Far AUROC,0.9999890646408839,1.0,1.0935359116115428e-05,True
Pusher-v5 SCOD Far AUROC,0.9946128733333334,0.995,0.0003871266666666262,True
Hopper-v5 SCOD Far/ID score ratio,0.3202839744748656,0.32,0.00028397447486561145,True
Ant-v5 SCOD Far/ID score ratio,0.49992342638834253,0.5,7.657361165747112e-05,True
environments where P&C > SCOD (of 11),11.0,11.0,0.0,True
