env,method,n_seeds,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far
Ant-v5,"MC Dropout (n=300, dr=0.3) [relu]",5,0.5364+/-0.0169,7.5667+/-21.1948,-0.0875+/-0.8833,105.6664+/-129.1564,1033.1876+/-618.3651,0.5718+/-0.0118,0.6013+/-0.0101,0.5494+/-0.0919
Ant-v5,"MC Dropout + VCal (n=100, dr=0.3) [relu]",1,0.5584+/-0.0000,-3.0375+/-0.0000,1.1503+/-0.0000,3.3928+/-0.0000,2488.3523+/-0.0000,0.5628+/-0.0000,0.6007+/-0.0000,0.5768+/-0.0000
Ant-v5,Deep Ensemble (n=10) [gelu],1,0.5296+/-0.0000,-2.2057+/-0.0000,1.8993+/-0.0000,11.5152+/-0.0000,11.3574+/-0.0000,0.5149+/-0.0000,0.5738+/-0.0000,0.7562+/-0.0000
Ant-v5,Deep Ensemble + VCal (n=50) [relu],3,0.5452+/-0.0062,-1.9526+/-0.0821,1.8642+/-0.7164,2.8544+/-0.4487,7.7809+/-3.1222,0.5852+/-0.0326,0.5850+/-0.0300,0.5959+/-0.0190
Ant-v5,Subspace (n=100) (T=0.0) [gelu],1,0.5099+/-0.0000,-2.3060+/-0.0000,1.8627+/-0.0000,8.8206+/-0.0000,35.6031+/-0.0000,0.5287+/-0.0000,0.5581+/-0.0000,0.4594+/-0.0000
Ant-v5,Subspace (n=100) [relu] (T=10.0),3,0.5458+/-0.0062,-1.8333+/-0.0401,0.3151+/-0.6732,0.4812+/-0.3899,12.7211+/-2.4466,0.4894+/-0.0457,0.4323+/-0.0458,0.2141+/-0.0312
Ant-v5,Subspace + VCal (n=100) (T=0.0) [relu],5,0.5499+/-0.0082,-1.7053+/-0.0765,0.4442+/-0.3720,0.7657+/-0.2756,14.2278+/-8.2902,0.4824+/-0.0385,0.4306+/-0.0436,0.2752+/-0.0475
Ant-v5,SWAG (n=100) [gelu],1,0.5061+/-0.0000,-1.7177+/-0.0000,1.2374+/-0.0000,6.9615+/-0.0000,17.5995+/-0.0000,0.5207+/-0.0000,0.5433+/-0.0000,0.5483+/-0.0000
Ant-v5,SWAG + VCal (n=100) [relu],5,0.6630+/-0.0318,-0.9494+/-0.1297,0.0266+/-0.0719,0.1732+/-0.2199,4.1937+/-1.2932,0.5071+/-0.0391,0.5138+/-0.0373,0.4909+/-0.0716
Ant-v5,Laplace (n=100) [gelu] (prior=100000.0),1,0.5338+/-0.0000,-2.1029+/-0.0000,0.4027+/-0.0000,7.5757+/-0.0000,25.7146+/-0.0000,0.4764+/-0.0000,0.4943+/-0.0000,0.5850+/-0.0000
Ant-v5,Laplace + VCal (n=100) [relu] (prior=100000.0),4,0.5487+/-0.0227,-1.6819+/-0.4276,1.8034+/-0.5310,3.6020+/-1.2901,19.8436+/-6.5776,0.5606+/-0.0229,0.5366+/-0.0321,0.3420+/-0.0778
Ant-v5,Evidential (lam=0.01) [relu],5,0.6144+/-0.0378,12.6793+/-9.3386,16.1974+/-5.0056,94.7445+/-104.3940,936.0230+/-494.0993,0.4173+/-0.0281,0.3812+/-0.0567,0.4076+/-0.1815
Ant-v5,Evidential + ESN (lam=1) [relu],5,0.6207+/-0.1114,1.0142+/-1.8127,2.6429+/-2.6812,5.3358+/-6.9861,113.9285+/-52.6371,0.2503+/-0.0511,0.1280+/-0.0605,0.3188+/-0.0864
