env,seed,selected_size,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far
Ant-v5,0,10.0,0.5495074987411499,-1.804904580116272,0.15472091734409332,0.015492312610149384,1.1245585680007935,0.7387184450000001,0.79953933,0.9981264400000001
Ant-v5,10,20.0,0.6406424641609192,-1.2162940502166748,-0.4936211407184601,-0.4193774461746216,0.7694796919822693,0.7059095500000001,0.772044675,0.9967065900000001
Ant-v5,42,5.0,0.7594103813171387,-1.36479914188385,-0.577489972114563,-0.39257460832595825,1.082284927368164,0.8423402449999999,0.8887137,0.99939512
Ant-v5,100,5.0,0.6074782609939575,-2.0085020065307617,0.0011341667268425226,0.3833782970905304,1.033372163772583,0.73961456,0.8366255049999999,0.9950557099999999
Ant-v5,200,20.0,0.5526149868965149,-1.983746886253357,-0.19693954288959503,0.28827211260795593,1.0818835496902466,0.7232945199999999,0.8262935850000002,0.99740532
Ant-v5,mean+/-std,,0.6219+/-0.0768,-1.6756+/-0.3256,-0.2224+/-0.2802,-0.0250+/-0.3338,1.0183+/-0.1277,0.7500+/-0.0478,0.8246+/-0.0391,0.9973+/-0.0014
HalfCheetah-v5,0,5.0,1.5629029273986816,0.1483088731765747,1.8052836656570435,2.058119535446167,1.801055908203125,0.76148054,0.96388778,0.991964635
HalfCheetah-v5,10,5.0,1.7801933288574219,0.24257872998714447,1.5437846183776855,2.1003363132476807,2.0280463695526123,0.72085135,0.93995732,0.978183975
HalfCheetah-v5,42,5.0,1.6268432140350342,0.0763004943728447,1.7397443056106567,2.2060985565185547,1.823612928390503,0.71262586,0.93011865,0.9854475899999999
HalfCheetah-v5,100,5.0,1.539475440979004,-0.00999205932021141,1.360351800918579,1.9461772441864014,2.026660203933716,0.7456498349999999,0.9598808000000001,0.99069634
HalfCheetah-v5,200,5.0,1.6053274869918823,0.20803621411323547,2.126857280731201,2.1275835037231445,1.9497121572494507,0.769884335,0.9367475900000001,0.99368867
HalfCheetah-v5,mean+/-std,,1.6229+/-0.0844,0.1330+/-0.0911,1.7152+/-0.2583,2.0877+/-0.0856,1.9258+/-0.0972,0.7421+/-0.0223,0.9461+/-0.0133,0.9880+/-0.0056
Hopper-v5,0,5.0,0.19622959196567535,-1.4427164793014526,0.08337189257144928,0.5884268879890442,0.5050090551376343,0.788670105,0.8483021900000002,0.941203475
Hopper-v5,10,5.0,0.2095257192850113,-1.1460959911346436,-0.004587495233863592,0.4525809586048126,0.3405280113220215,0.7814554300000001,0.852941785,0.931961885
Hopper-v5,42,5.0,0.20901760458946228,-1.3163892030715942,0.20100997388362885,0.44108182191848755,0.458969384431839,0.80953688,0.8584049899999999,0.95977707
Hopper-v5,100,5.0,0.19016201794147491,-1.4004701375961304,0.28789687156677246,0.4850340187549591,0.3188542425632477,0.80259904,0.873748145,0.9547763100000001
Hopper-v5,200,5.0,0.21307621896266937,-1.3164199590682983,0.37050414085388184,0.8460040092468262,0.3767872154712677,0.8099884350000001,0.8721692249999999,0.9651717899999999
Hopper-v5,mean+/-std,,0.2036+/-0.0088,-1.3244+/-0.1017,0.1876+/-0.1353,0.5626+/-0.1509,0.4000+/-0.0709,0.7984+/-0.0115,0.8611+/-0.0102,0.9506+/-0.0122
